epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.0006389333195561035,0.02385474539344961,0.00047375205120867275,0.018076771861224465
1,0.0004323464474397373,0.01994709248231216,0.0004106791165858423,0.0166194865683263
2,0.0003980485176858069,0.0191803461746736,0.00038932106638447185,0.016116586982300788
3,0.00037839813902444967,0.018690505422651767,0.0003709730475119696,0.015671209805842603
4,0.0003659429603192786,0.018371545605361462,0.0003624695730104577,0.015459325617235719
5,0.00035920919420790267,0.018159928684207526,0.00035638489861660426,0.015306694846261631
6,0.0003539361549774185,0.01807480507073077,0.00035144094491194915,0.015200642943382263
7,0.0003478202066114384,0.017849940829656342,0.0003459293780123875,0.015070365032914913
8,0.0003440194172752936,0.017803618284111672,0.00034182475038202633,0.014980203687693134
9,0.00033804905802720564,0.017616310230032965,0.00033656675613394436,0.014859302098100836
