epoch #,Training loss,epoch_time (seconds)
0,1.0866221189498901,438
1,1.0498507022857666,436
2,1.012321949005127,435
3,0.9740357398986816,437
4,0.9349958300590515,433
5,0.8952087163925171,437
6,0.8546844124794006,444
7,0.8134351372718811,438
8,0.7714760303497314,3711
9,0.7288246750831604,451
10,0.6855005025863647,446
11,0.6415255069732666,441
12,0.5969222784042358,438
13,0.5517157912254333,444
14,0.5059317350387573,442
15,0.4595966637134552,442
16,0.41273847222328186,441
17,0.36538416147232056,442
18,0.3175620138645172,446
19,0.2692999243736267,442
20,0.2206254005432129,456
21,0.1715661585330963,442
22,0.12214881181716919,442
23,0.0723995566368103,440
24,0.02234463021159172,442
25,-0.027992017567157745,443
26,-0.07858583331108093,442
27,-0.1294138878583908,440
28,-0.1804540753364563,447
29,-0.23168513178825378,445
30,-0.2830870449542999,440
31,-0.33464062213897705,442
32,-0.38632771372795105,442
33,-0.43813183903694153,440
34,-0.4900372624397278,415
