epoch #,Training loss (MSE),Training RMSE,Validation loss (MSE),Validation RMSE
0,0.0006785307110349517,0.024481318748101246,0.0005385968602684781,0.019021464641704115
1,0.00045081368038817055,0.020064566166017407,0.00047734022133057765,0.017696183369776537
2,0.0004131638985073064,0.019160623975502427,0.0004483772911805508,0.017260809021806996
3,0.00037247370814028297,0.018160734477258005,0.0004014005259811055,0.016278346142796583
4,0.0003474515777073016,0.01764691149556013,0.0003838516336927992,0.0159500224948969
5,0.0003367964090335421,0.01739046725827132,0.000373772383385966,0.015695195831358432
6,0.0003303085807566495,0.017205231098183827,0.000368810445645575,0.01561555995410958
7,0.0003218442547137762,0.016936391464961592,0.0003499770660540847,0.015180770966202713
8,0.00030681236282481935,0.01663367081751195,0.0003407012243473599,0.014988560238203337
9,0.0003016774161798201,0.016452442727578703,0.0003359987864102952,0.014902567538584387
10,0.00029881661383030384,0.01633500567846751,0.00033341312116326027,0.014877673892607522
11,0.00029325009237473124,0.016208662582171518,0.00031898712084850645,0.01453567438347395
12,0.00028418136630076446,0.016052387191285922,0.00031858130424489205,0.014559917251557804
13,0.0002818659161598342,0.015978682792001916,0.00031409013666467046,0.014438936941672203
14,0.00028041975144946647,0.0159453180004922,0.00031357275851363273,0.014444280216513679
15,0.00027933367634058547,0.015748717140608517,0.0003258787235312792,0.014699810751995375
16,0.0002806008986198314,0.015827097108428792,0.0003088352247412035,0.014329745308604352
17,0.00027334375334939697,0.01576841118810482,0.00030737064246136997,0.014290471392315488
18,0.00026422802512788906,0.015360444493938323,0.0002885522979425353,0.013830435886805834
19,0.00025258783161705145,0.015096177641562252,0.00028337743596937293,0.013754126680798309
20,0.00025171502850351445,0.01496481739648784,0.0002808550311804771,0.013685929580310056
21,0.0002506153216962739,0.015060096141672873,0.00028111765791965257,0.01370174812456203
22,0.0002520193809278123,0.014991429418527573,0.0002793474528305016,0.013656264664821846
23,0.0002491685214394689,0.01496703972419103,0.0002797421068629943,0.013652993561050226
24,0.0002499713535919648,0.01499352094161418,0.0002791605098240706,0.013645300658982853
25,0.00025026806859866277,0.015042600047218708,0.00028275603077883375,0.013769786090178544
26,0.00024836066167922545,0.014910619295844736,0.0002768839720628484,0.01359135965535114
27,0.0002489336739229255,0.014925628709931707,0.00027749253407142365,0.01360895844219729
28,0.0002465910798689087,0.014943436236669447,0.0002758873291557308,0.013571310134301353
29,0.0002463189444853022,0.014886572473328705,0.0002761793106612966,0.013582948681920073
30,0.0002468228256108795,0.014983228282179944,0.00027947113460043534,0.013633374670563742
31,0.0002486391520477802,0.014990264445889828,0.00027426376371633606,0.01352906469688859
32,0.0002428909882139631,0.014734232575856439,0.00027179117243450007,0.013463990853796171
33,0.00024412073067059135,0.01491320708030185,0.0002691088318093788,0.013423931460047877
34,0.00023748123115415923,0.014491852413314257,0.0002578237030024337,0.013133161411035892
35,0.00023035945823369187,0.014486656548787457,0.0002575598586063702,0.013142192558666995
36,0.00023026525985103013,0.014370072355797124,0.00025882515071506805,0.013157720924463384
37,0.000230327926309014,0.014445716954132383,0.0002610601471238878,0.013298563862782577
38,0.0002299038300082803,0.014407003574188828,0.0002568746897660001,0.0131352296792144
39,0.00022941232098730338,0.014453301915191404,0.00025760411395864605,0.01313253603875637
40,0.0002294175046840827,0.014369841207309749,0.0002569869365055807,0.013120744754235412
41,0.00022856435139957714,0.014403826181682967,0.00025622291767260404,0.01309720406005549
42,0.00022971215935391483,0.014422509238816971,0.00025186091610690753,0.012989269101689028
43,0.0002252106657177264,0.0142700271796464,0.00025081805103772514,0.012968106100032496
44,0.00022475296005835873,0.014161920185063698,0.00025069452757909243,0.012967692974001863
45,0.00022418306856876412,0.014173404927286066,0.0002500455310773971,0.012952704528389975
46,0.00022434826086275506,0.014264573899725842,0.0002512999168640479,0.012989718536304873
47,0.00022526646263955176,0.014200077455692975,0.0002542344641094746,0.01307467861577522
48,0.0002178221643526042,0.014073309324710638,0.00024229227199738974,0.01268913247730843
49,0.00021541852211510193,0.0140183372451931,0.0002394048220255997,0.012646037769005742
50,0.00021374862362015198,0.013872199109935946,0.00024113749006024,0.01269459952492007
51,0.00021412609468627984,0.013992354282459547,0.00023868874232839727,0.01262970186206837
52,0.00021322225008427,0.013963824533676917,0.00023788566960679735,0.01261109603612229
53,0.00021576407945772647,0.013854250098152679,0.00023257291304193935,0.012495081594517064
54,0.00020414004842353654,0.013516984764457673,0.00022693440449413259,0.012311504597147537
55,0.0002034826275727634,0.013523400325125964,0.00022766923873352297,0.012319394660203957
56,0.000202222112206383,0.013430781918036384,0.0002249228474812658,0.012259516451334537
57,0.0002011008334369579,0.013483874850668187,0.00022481979193439338,0.012262772801223882
58,0.00020043821958012792,0.013525689098724099,0.00022414569385271238,0.012249528436899878
59,0.00020001211423097926,0.013450685215666313,0.00022352314137902415,0.012229897725114295
60,0.00020022956910949243,0.013447911347183147,0.00022436628207160963,0.012255053274160209
61,0.00020092375274854098,0.013568579128315283,0.00022311592926366016,0.012222716844705649
62,0.0002009480844617076,0.013481794515725716,0.00023195372947199314,0.012357167609382507
63,0.0001995631892282819,0.013417949101548324,0.00021808156745337751,0.01208006852674623
64,0.0001945599636715898,0.01333684478633741,0.0002177812030801528,0.012078905980600867
65,0.00019425625162462654,0.013262546225631422,0.0002178410223149153,0.012070813224932482
66,0.00019438030945440364,0.013197206378762805,0.00021703450930058457,0.012043997996248479
67,0.00019384034508397051,0.013283213323285413,0.00021725567076341684,0.012047884734564049
68,0.000195623080996533,0.013245896561894305,0.00022234718236113833,0.012210327889337095
69,0.00018934076970042444,0.013113505219997362,0.0002082576577925275,0.011783025197164957
70,0.00018635328776869664,0.013027982388500326,0.0002098649983371467,0.011821670093855192
71,0.00018683470800959383,0.012969682648662448,0.0002072934042845127,0.011762304831469474
72,0.00018538898116522723,0.012851740363552126,0.00020662512453232328,0.011730164471407269
73,0.00018378802474322838,0.012847616101882254,0.00020632414305636788,0.011720498330717864
74,0.00018395042509858518,0.012904917092113069,0.00020614764866348746,0.011720852753104166
75,0.00018376537479434068,0.012907464006670224,0.0002058732964648042,0.011714770300530418
76,0.00018358615284800068,0.012768567902173183,0.00020588215897035742,0.011712869354198838
77,0.00018359539027970153,0.012897783545993788,0.00020581395157171566,0.011713338465711405
78,0.00018628991882194034,0.012872295033966386,0.00020762535409736554,0.011766975331878246
79,0.00018370138822383314,0.012860264450080636,0.00020604850714186986,0.011715104959385339
80,0.00018513387707106059,0.012843438772513538,0.00020672003978857944,0.011728872783308806
81,0.00018328460841033565,0.012931068092873392,0.00020518272649496793,0.01170079595257723
82,0.00018308293239488547,0.012915241932713015,0.00020557539914883564,0.011710322661282017
83,0.00018336120164906246,0.012702374057772086,0.00020523043127722366,0.011705464479881664
84,0.00018454932569582087,0.012877828632156516,0.00020864660270257615,0.011816278990184845
85,0.00018279436201194677,0.012895459283229917,0.00020229910093570822,0.011625569738274397
86,0.00018003566506230307,0.012786318285231904,0.00020105977633055625,0.01159069008128934
87,0.0001796204783479266,0.012706495134174363,0.0002009218294534908,0.011585542041981636
88,0.0001795151420167734,0.012680716489174569,0.00020265592579245243,0.011621951298831507
89,0.0001804439399920245,0.012700788938086625,0.00020760955220646074,0.011699462272659984
90,0.00017943545236737764,0.01282804228596447,0.00020063221960553229,0.011577535206235426
91,0.00017922918461493303,0.012788666348702224,0.00020127728665017436,0.011588294433733059
92,0.00018007702213556815,0.012808866072590498,0.00020197086854496711,0.011619919739923506
93,0.00017895799560780102,0.01269775500824285,0.0001996067169847963,0.011548455118006746
94,0.00017793522328733965,0.012710933330966982,0.00019952480269725932,0.011542178003853838
95,0.0001778626642738155,0.01263552553403054,0.00019921427897210125,0.011536215269548256
96,0.00017849407730716129,0.012665175312278114,0.00020145885145486615,0.011608258886046188
97,0.00017941893756799328,0.012836135420659485,0.00020167477150396227,0.011602384055596451
98,0.00017759469860897115,0.012635028851759988,0.00019806069218713336,0.011500216923047637
99,0.00017758205088799414,0.012631021024182785,0.00019821522868750075,0.011504842581357373
100,0.00017697078051982275,0.01268807687154112,0.00019803842012553887,0.011502282382097355
101,0.00017723791131929337,0.01258693180559564,0.00019835108744933508,0.011514055018508157
102,0.00017678694680645383,0.012614466616696166,0.00019795285361185453,0.011498887262978525
103,0.00017681012104731053,0.012672219610260438,0.00019811956341538124,0.011503331306888614
104,0.00017683788187699862,0.012650602045216302,0.00019848779294650656,0.011510170051871344
105,0.00017866930229925053,0.012696605727307556,0.00019747038496398302,0.011489901602874662
106,0.00017734811194114705,0.012759211042881474,0.0001999989894948369,0.011525374362894962
107,0.00017718404013475822,0.012553549518938674,0.00019698546914083254,0.0114865583995747
108,0.00017559259430308601,0.012589517821983774,0.00019637110660348066,0.01145836965202592
109,0.00017544607842357308,0.012527807494408863,0.00019660094843603412,0.01147325858906951
110,0.0001752577448575559,0.012589564116657242,0.00019627704244813622,0.011454710548440385
111,0.0001752486986538139,0.012504199036043282,0.00019633237827165853,0.01145285470627768
112,0.0001739484111969305,0.012460688163721284,0.0001924318585478495,0.011348534760953382
113,0.00016912932289076622,0.012402005019316147,0.00018875499764933835,0.011220619125768196
114,0.00016850390463170429,0.012289149848412173,0.00018860907769331514,0.011213342605028735
115,0.0001683183732625754,0.0123919033394881,0.00018937447733383863,0.01123132018459051
116,0.00016906170551024392,0.012389785356011039,0.0001927556424857886,0.01130397001844506
117,0.00016971323826411638,0.012380210987414963,0.00018868989718612283,0.011224098152719264
118,0.00017023287398969418,0.0124153503931539,0.00018631941204021556,0.011141899832372749
119,0.0001640291155479278,0.012074321037692617,0.00018370597068962185,0.011048596889473671
120,0.0001635798782219297,0.012166859237332793,0.00018358165102125534,0.011045597305218148
121,0.00016358732329338588,0.012196097785765811,0.00018347517030887565,0.011043387185782193
122,0.00016385379206531776,0.012184401009549466,0.00018428198820275124,0.011070493110563866
123,0.00016731613913736876,0.012248449642644372,0.00018469948573024447,0.0110657817489186
124,0.0001627671460870585,0.01213750091576299,0.00018183923844886988,0.010997506430329278
125,0.00016199629148062276,0.012042408485629761,0.00018148097510146366,0.010988398708489746
126,0.00016184723498335817,0.01208841883714578,0.00018133949723600972,0.010981759519944357
127,0.00016175543119167086,0.0121305417096199,0.00018177430062868828,0.010996058321189741
128,0.00016169339045123607,0.012029047439943335,0.0001812791068385745,0.010979783857717763
129,0.0001615294285604546,0.012085995862130508,0.00018187877735621188,0.010998221170590367
130,0.0001643774582906951,0.012166879952762479,0.0001885147887108804,0.011405764849380006
