epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.00269840023936767,4.1994326596089425e-05,14023
1,3.160932256134909e-05,1.9065600103796135e-05,7201
2,1.7128729057223483e-05,1.5201372734948162e-05,671
3,1.2536040506439145e-05,8.823897936180889e-06,795
4,9.384023081132232e-06,5.556879319704231e-06,787
5,8.131099636465683e-06,4.582900291108333e-06,809
6,7.109391125518167e-06,1.427739471499842e-05,844
7,6.2376078312104076e-06,4.159709921390628e-06,839
8,5.619048205298613e-06,2.9602692928768e-06,847
9,4.362110842542511e-06,2.49492360565053e-06,808
10,4.451268992401197e-06,2.1696367731914674e-06,842
11,4.1409726976738505e-06,3.7589731819871516e-06,854
12,3.8071086052251872e-06,1.7484414064087062e-06,820
13,3.409109725654098e-06,2.657048446904852e-06,845
14,3.1377169843060332e-06,1.3570021115641752e-06,841
15,2.867629349259724e-06,1.5556067846456392e-06,859
16,2.9098223338174407e-06,1.0040226863941636e-06,794
17,2.2805960764013123e-06,7.350542980118515e-07,676
18,2.596217162439037e-06,2.974951744125403e-06,767
19,2.2167014508728567e-06,1.7714157540340663e-06,816
20,2.2515485027746086e-06,1.6400944267642508e-06,794
21,1.9171560262476805e-06,1.6862029571161973e-06,807
22,1.9067972278986953e-06,2.3692813228567397e-06,654
23,1.8420046896252213e-06,1.0620198029988217e-05,671
24,1.6862175686068538e-06,1.1721385934897415e-05,674
25,1.6811686617184163e-06,3.704515468196532e-06,706
26,1.484957856157701e-06,3.335840290384736e-07,765
27,1.6716930735861936e-06,4.989757700233768e-07,693
28,1.5274409306602484e-06,4.163176153954652e-07,513
29,1.3306270794819565e-06,4.986168105421162e-07,442
30,1.2529957958954337e-06,8.49461710175959e-07,536
31,1.3253519253431274e-06,8.829103071389529e-07,644
32,1.3085568256183815e-06,1.3540865539166696e-06,642
33,1.2716217018892132e-06,2.146931017197731e-06,646
34,1.261196805836518e-06,7.467143274396243e-07,645
35,1.0747651308987375e-06,5.722746048081189e-07,644
36,1.1983746183224247e-06,5.471179289421597e-07,644
37,1.0808382571156457e-06,2.1940239929430982e-06,659
38,1.0686173423493543e-06,2.5182481788319394e-07,673
39,1.0824264345439743e-06,4.2174578937398786e-07,668
40,1.0921142078341854e-06,2.215969125860167e-07,649
41,1.0218944711077922e-06,7.080961843707142e-07,645
42,9.997004098323495e-07,2.3503463209575e-07,646
43,1.0723610179245797e-06,2.903192080702601e-07,647
44,9.422646051033616e-07,2.5863294658213206e-06,648
45,1.0137756631397573e-06,4.2627214882454716e-07,674
46,9.689693418377906e-07,2.681145940013806e-07,687
47,8.889327722096097e-07,2.411487900240202e-07,694
48,1.0204387420400976e-06,2.633539751048713e-07,705
49,9.323452003232788e-07,3.2269882347881594e-07,665
50,9.316866451903719e-07,2.76941432027771e-07,645
51,8.812956911094452e-07,8.075556339399766e-07,674
52,8.714667966951452e-07,2.706298290789608e-06,770
53,9.207840338508821e-07,1.5522000307712883e-07,703
54,9.139001864803702e-07,2.404007105218001e-07,679
55,8.297025534258949e-07,6.679901571128222e-07,747
56,9.049677258246461e-07,6.82322646135818e-07,812
57,8.225329132306628e-07,1.4814946501532134e-06,900
58,8.433806803002726e-07,1.6681356542086855e-07,901
59,7.998652881107505e-07,3.1716961987428456e-07,777
60,8.35756027947545e-07,4.2970988175078e-07,823
61,8.07035425113057e-07,4.078552238794611e-06,866
62,8.253582567811661e-07,1.759498667165327e-06,845
63,8.25021219349955e-07,2.0273451711617315e-07,810
64,8.116423884985125e-07,1.9360353287459285e-07,732
65,7.684322207700278e-07,7.551043488097834e-07,751
66,9.050124731181997e-07,1.680249215380918e-07,670
67,7.49200669762005e-07,9.746086758759491e-07,769
68,7.844241042808197e-07,2.090944611459923e-07,758
69,8.519887767209558e-07,2.434811082377226e-06,857
70,7.287525442924837e-07,3.3030215770977097e-07,876
71,7.600954132783059e-07,1.7217129602402058e-06,850
72,7.795943089319749e-07,3.1634735044695674e-06,871
73,7.939431189343364e-07,1.858851708961041e-07,757
74,7.676036811544726e-07,1.2118207638555166e-06,858
75,7.364564936992334e-07,5.492806260767159e-07,1292
76,8.072658114125867e-07,3.370972244619394e-07,120
