epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.023289897481021896,0.0006308290891451269,179
1,0.000721783786800436,0.0005906316453047959,176
2,0.0006555627341466871,0.0004714399911568107,176
3,0.0003436199797380885,0.00014364364071964628,176
4,0.00013187524111179467,7.108050268465184e-05,175
5,8.137907625165429e-05,4.668393362221678e-05,176
6,5.046895021223463e-05,3.773458189130703e-05,175
7,4.324642596078444e-05,3.4767830366487844e-05,176
8,4.248437615884045e-05,3.3370022523605194e-05,175
9,3.7206856518010186e-05,2.7891506028964663e-05,176
10,3.529710007900245e-05,2.41134786090426e-05,177
11,3.542955278217877e-05,2.499414938554437e-05,175
12,3.033908487519842e-05,4.3808762283960676e-05,176
13,2.793873891112691e-05,2.13779906411648e-05,175
14,2.347607834963128e-05,2.5109940814342413e-05,176
15,3.062146843479819e-05,2.995856246106205e-05,175
16,2.6363398574176246e-05,2.5444028388897914e-05,175
17,2.0483097852609882e-05,1.494918038825626e-05,177
18,2.1644439495337958e-05,1.4907805567610176e-05,176
19,2.530376547921068e-05,1.41001015905904e-05,176
20,1.9599687703620558e-05,1.8522982167981e-05,176
21,1.9817468353060328e-05,1.925939828290652e-05,176
22,4.2452357136591506e-05,1.73814585562564e-05,175
23,1.5455352573057596e-05,1.3708483957597314e-05,175
24,1.4449561025354672e-05,1.1317696086017513e-05,175
25,1.9730694644253657e-05,1.1653040231332785e-05,175
26,1.618589619531783e-05,1.1237389068205997e-05,175
27,1.36182584372529e-05,1.0408726719230477e-05,175
28,1.986064148447688e-05,1.7793658797989632e-05,175
29,1.4443385397581469e-05,1.1523339338772366e-05,175
30,1.2202240508155559e-05,1.156592763187935e-05,175
31,1.1945205088440244e-05,1.759751824211432e-05,176
32,1.800790786298669e-05,1.1114201522969152e-05,177
33,1.2775024370057508e-05,1.557695533644071e-05,175
34,1.840175838217626e-05,1.0468636614379694e-05,175
35,1.1435850379215976e-05,1.809606697172272e-05,175
36,1.356133657364725e-05,1.0315929308343137e-05,176
