model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp,peak_signal_noise_ratio
univariate_DT_max-depthNone_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.2803477331824078e-07,0.993627090948034,0.9936359912618544,7.146157344630566e-06,0.000949501075393,0.0003494635748211,0.0807704329224902,26-06-2023_17-59-42,
"univariate_NeRF_64fourier-features_layers128-256-32_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.01)",5.665502652274684e-06,0.9992829898832954,0.9994043707847596,8.040086072469421e-07,0.0005031055188737,0.0003155171871185,4491633664.0,27-06-2023_13-29-43,
univariate_LR_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,7.066250958057664e-09,0.2082630551813264,0.2083163261413574,0.0008878001244738,0.0146961184218525,0.0081457402557134,505949290496.0,28-06-2023_09-31-23,
multivariate_LR_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,3.90494684254901e-05,0.7518254679638867,0.7525081579057898,0.0001737894490361,0.0063125393353402,0.005538563709706,362180706304.0,28-06-2023_12-29-41,
"multivariate_NN_layers50-500_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 500 epochs, lr=0.001)",4.728595662561263e-05,0.9901389115761228,0.994658236425104,6.211153049662244e-07,0.0004360096936579,0.0003173325094394,44514156544.0,28-06-2023_12-48-49,
"Autoencoder description: autoencoders_layers8-16-32-64-128-256-512-1024-2048-4096_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. Sigmoid , batch size 64, 500 epochs, lr=1e-06) --- MLP description: aemlp_layers6-24-48-16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch size 64, 500 epochs, lr=0.001)",0.0003854342277005,-12.063679508094468,2.2060703486204147e-08,0.0007561064558103,0.0178632643073797,0.016519695520401,1673117696000.0,28-06-2023_19-08-39,
univariate_RF_max-depthNone_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.4277642936558984e-05,0.9935985961149147,0.9936065778762544,7.178109559752152e-06,0.0009501773603617,0.0003491485677659,0.0808980927640999,30-06-2023_11-00-34,
univariate_approxGP_32fourier-components_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,5.955142551618228e-07,0.5858893606572885,0.5859631299972534,0.00046435627155,0.0113017652183771,0.0073907421901822,588177604608.0,03-07-2023_10-01-32,
"univariate_NN_layers50-250_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=1e-05)",4.893258790805368e-06,0.9978507389320124,0.99791020154953,2.4100381779135205e-06,0.001021490083076,0.0007259342819452,50366218240.0,05-07-2023_13-00-15,
univariate_XGB_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,3.2033912586287895e-07,0.9887933426075528,0.9887992739677428,1.256640098290518e-05,0.0015532321995124,0.0006921868771314,23376187392.0,12-07-2023_12-05-53,
multivariate_skGP_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01 standard multivariate GP,0.000137592813243,-2.1214365108795428,-2.042159060612645e-07,0.0015095697290773,0.0197037078898128,0.0162700023457286,0.9873291925465838,12-07-2023_13-56-20,
univariate_DT_max-depthNone_training_factors=ti8-ct8_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.2255176555167456e-07,0.9780066323717193,0.9780426803935932,2.4348013119665925e-05,0.0015744863639276,0.0005035661160945,0.1167942080197801,19-07-2023_23-46-09,46.13536472904039
univariate_DT_max-depthNone_training_factors=ti16-ct16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.1621488987866202e-07,0.91792925703291,0.918405963324056,9.244115204477062e-05,0.0031852906615569,0.0009762598783709,0.2295519897113101,19-07-2023_23-49-22,40.34134650778724
univariate_DT_max-depthNone_training_factors=ti32-ct32_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,9.508933465472e-08,0.7206606009939572,0.722008567631659,0.0003078043920719,0.0065256282034756,0.0021612637210637,3234817784.4354434,19-07-2023_23-57-31,35.11725187496689
"univariate_NeRF_256fourier-features_layers256-256-256_training_factors=ti4-ct4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.0001)",6.675190146030741e-06,0.9995943367830294,0.9995944499969482,4.548840877305338e-07,0.0004035625315736979,0.0002645739587023854,57049624576.0,22-07-2023_15-53-19,63.42099254930194
