model_description,prediction_time,r2_score,explained_variance_score,mean_squared_error,mean_absolute_error,median_absolute_error,mean_absolute_percentage_error,timestamp,peak_signal_noise_ratio
univariate_DT_max-depthNone_training_factors=ti4-ct4-xD4-yD4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.1604617942463268e-07,0.9999999999999996,0.9999999999999996,4.876158504251735e-19,2.971966705830031e-11,0.0,0.0321206540108076,15-07-2023_20-35-39,165.3233210604317
"univariate_NN_layers50-250_training_factors=ti4-ct4-xD4-yD4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 160 epochs, lr=0.01)",5.748166472880871e-06,0.9922958892762752,0.9941753149032592,1.0178618140344042e-05,0.0019410590175539,0.0013472726568579,100689403904.0,17-07-2023_09-52-15,49.92311178262415
"univariate_NeRF_64fourier-features_layers128-256-32_training_factors=ti4-ct4-xD4-yD4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.01)",6.005698210233218e-06,0.9972173772200394,0.9974849224090576,3.6763824482477503e-06,0.0008468004525639,0.0003695185296237,31992377344.0,18-07-2023_08-16-58,54.34579315968189
univariate_DT_max-depthNone_training_factors=ti4-ct4-xD4-yD4_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.192334797475245e-07,0.9999999999999996,0.9999999999999996,4.876158504251735e-19,2.971966705830031e-11,0.0,0.0321206540108076,19-07-2023_09-52-53,183.1192218566173
univariate_DT_max-depthNone_training_factors=ti8-ct8-xD8-yD8_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,1.6252834956486389e-07,0.9999999999999996,0.9999999999999996,6.7787767024098775e-19,5.876925438188454e-11,0.0,0.0917642058135989,20-07-2023_00-13-13,181.68848671815363
univariate_DT_max-depthNone_training_factors=ti16-ct16-xD16-yD16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,5.22250220889137e-07,0.9999999999999996,0.9999999999999996,2.306016611436888e-18,1.9355466417528166e-10,0.0,0.3978553481692929,20-07-2023_00-26-50,176.37137568581045
"univariate_NeRF_128fourier-features_layers128-256-32_training_factors=ti16-ct16-xD16-yD16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.01)",7.256764132960313e-06,0.0078466987221782,0.0228659510612487,0.0057279295288026,0.0353323705494403,0.0167555585503578,10263838326784.0,20-07-2023_14-34-40,22.420023338287653
"univariate_NeRF_128fourier-features_layers256-512-1024-128-8_training_factors=ti16-ct16-xD16-yD16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.0001)",1.3082408580650278e-05,0.0365037758056051,0.2963273525238037,0.0055624856613576,0.0453110449016094,0.0354584529995918,13520060022784.0,20-07-2023_22-30-17,22.547310955078714
"univariate_NeRF_256fourier-features_layers256-256-256_training_factors=ti16-ct16-xD16-yD16_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01: act. func. ReLU (not last layer), batch multiplier 8, 500 epochs, lr=0.0001)",1.082554155466508e-05,0.2291590265824034,0.3122280836105346,0.0044502425007522,0.0363078005611896,0.0244952999055385,13449507635200.0,21-07-2023_08-16-56,23.516163229810797
univariate_DT_max-depthNone_training_factors=ti12-ct12-xD12-yD12_discr_factors_x2_30_y-2_2_step0.125_TIstep0.01_CTstep0.01,2.5654396815606724e-07,0.9999999999999986,0.9999999999999986,1.1677790157619733e-18,9.798060523692273e-11,0.0,0.19656226284214623,27-07-2023_09-48-13,179.32639333007202
