epoch #,Training loss,Validation loss
0,0.020444385398517957,0.010329766327684576
1,0.0054251747600960005,0.002785514612597498
2,0.0018956406866059159,0.001526607491753318
3,0.001268295915740909,0.0011788495337929238
4,0.0010190932050798877,0.0009849214968694882
5,0.0008632448972626166,0.0008425427376377311
6,0.0007223278749169726,0.000707056003792042
7,0.0005994205450018247,0.0005858762105080214
8,0.0004917976172132926,0.0004904726630246098
9,0.0004213363456003594,0.0004146976036612283
10,0.0003632600415836681,0.00036907047604803334
11,0.00031657979930892134,0.00032957041847773576
12,0.0002842165564723087,0.00028325415322218427
13,0.0002520549971836083,0.0002589438205838881
14,0.00022075566592993158,0.00023560636295852336
15,0.00019977772495511807,0.00020667795599861577
16,0.00018044267273084684,0.0001793529718733308
17,0.00016338781634289207,0.0001663404970895499
18,0.0001481240031055429,0.00015241888245906343
19,0.0001387249906406258,0.0001400704882954332
20,0.0001292413534653006,0.00012983193726871502
21,0.00012068265744230964,0.0001310649490915239
22,0.00011416486786170439,0.000114863081517714
23,0.00010905280175872824,0.00010588098899461329
24,0.00010078544180953142,0.0001008821672505953
25,9.646375632534425e-05,9.440861716443164e-05
26,9.067644969080434e-05,9.303560554557903e-05
27,8.508457903834906e-05,8.690931220454248e-05
28,8.310299657398102e-05,9.135770018805157e-05
29,8.039423848756335e-05,7.835795287974178e-05
30,7.479310058283083e-05,7.796039328571747e-05
31,7.334205051037398e-05,7.572616286448795e-05
32,7.049233844560204e-05,6.817217736335641e-05
33,6.719878725143093e-05,6.749299534765834e-05
34,6.730608275216638e-05,7.122387294657529e-05
35,6.460693075011173e-05,6.901784932283177e-05
36,6.000361837108027e-05,6.174239240036431e-05
37,5.870106268787023e-05,5.69264449454336e-05
38,5.905146755729661e-05,5.622971284372563e-05
39,5.5624401464945436e-05,6.0877343242860994e-05
40,5.332944756655982e-05,5.415942466987128e-05
41,5.2386603374598606e-05,5.31808705735867e-05
42,5.224024086739078e-05,5.7754583011212e-05
43,4.9962680349408674e-05,4.786826376485723e-05
44,4.801259106589538e-05,5.410443650114096e-05
45,4.671705224918145e-05,5.056252470239997e-05
46,4.666371032539191e-05,4.433382731142708e-05
47,4.629387081403172e-05,4.609870073512535e-05
48,4.4459908749118e-05,4.567326845558868e-05
49,4.362392503147324e-05,4.3030541644177656e-05
50,4.290302360261028e-05,4.0981892088893803e-05
51,4.056595677905011e-05,3.939957336776636e-05
52,3.947407534966866e-05,4.139322054635903e-05
53,3.915180360446825e-05,3.901136337927627e-05
54,3.699497703575727e-05,3.994392564477907e-05
55,3.789544537324797e-05,3.6459880912761117e-05
56,3.6308133212680164e-05,3.622499408348548e-05
57,3.541067855037523e-05,3.688348578924144e-05
58,3.5004867974555855e-05,3.3004115499683064e-05
59,3.434855447178989e-05,3.56634794364006e-05
60,3.390979721690669e-05,3.5500452266371044e-05
61,3.312613445362358e-05,3.2293861467306585e-05
62,3.213949387215755e-05,3.216161937664517e-05
63,3.125815854097406e-05,3.101976519577544e-05
64,3.235524356590979e-05,3.274950812655417e-05
65,3.0669089110398836e-05,3.3533664404372264e-05
66,3.154655236920173e-05,3.079220735923049e-05
67,3.08067300498034e-05,2.9366215974071316e-05
68,3.0971518054491645e-05,3.263708669692278e-05
69,2.97329173649125e-05,3.968744940886443e-05
70,2.917803143800208e-05,2.8855490540577607e-05
71,3.0283394862305035e-05,2.909208251036365e-05
72,2.9258382139783918e-05,3.2409868118437854e-05
73,2.9260764025490394e-05,3.166072435719385e-05
74,2.866537506325227e-05,3.06744416593574e-05
75,2.7380191325915582e-05,2.6456353423947638e-05
76,2.7444921786699332e-05,2.650122250832448e-05
77,2.7193111917850647e-05,2.7368911700746554e-05
78,2.7577339149447103e-05,2.8411727398633957e-05
79,2.684258803668799e-05,2.924328918611123e-05
80,2.584589346114433e-05,2.601248130138794e-05
81,2.6234431700272992e-05,2.575625115158883e-05
82,2.5930253083281444e-05,2.7400578679093585e-05
83,2.6858747231237815e-05,2.6190813990648497e-05
84,2.5734738489104942e-05,2.6397675326072866e-05
85,2.5311076110511115e-05,2.5360828691521997e-05
86,2.4961759547956964e-05,2.4211151070300152e-05
87,2.5772364118672683e-05,2.5744144249157134e-05
88,2.440829794487041e-05,2.3840176753847946e-05
89,2.429532582843394e-05,2.3680778236170724e-05
90,2.4093604540791025e-05,2.309362586608834e-05
91,2.4750299286097287e-05,2.5578690600179305e-05
92,2.4509274922875744e-05,2.357351740515283e-05
93,2.4247874999701072e-05,2.2570207656826825e-05
94,2.31034006415443e-05,2.5651212861041794e-05
95,2.404346563994433e-05,2.6024778886825185e-05
96,2.404007458156257e-05,2.44820871475068e-05
97,2.3564683703818556e-05,2.6291342166421766e-05
98,2.366195746810373e-05,2.2623923485463654e-05
99,2.3888865845616568e-05,2.2458713118050417e-05
