epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.21512358925559305,0.18968148272970448,1
1,0.18624563043767756,0.16421047708262568,1
2,0.16091870394620028,0.14101511368840378,1
3,0.13786941528320312,0.12036092118446871,1
4,0.11594270706176758,0.0990473334981788,1
5,0.09393819722262296,0.07872848463354644,1
6,0.07382400339299983,0.060955660506064845,1
7,0.0564080658825961,0.045630092976256184,1
8,0.0414245960929177,0.03242992075333684,1
9,0.028665813315998424,0.021652610168693968,1
10,0.018598842295733366,0.013438087664775967,1
11,0.011237343766472556,0.007853623872958355,1
12,0.00646788087758151,0.004437946954869335,1
13,0.0036347022652626036,0.002480603645306937,1
14,0.0020186188410628927,0.0013543434839070954,1
15,0.0010740760171955282,0.0006844124993922548,1
16,0.0005196847258643671,0.0003069412356578045,1
17,0.00022123640233820134,0.00011914644043267884,1
18,8.123580578037284e-05,4.001631673356021e-05,1
19,2.68251702866771e-05,1.3421822226496401e-05,1
20,1.0065516583960165e-05,6.560620556076445e-06,1
21,6.045455652797086e-06,5.140518279737498e-06,1
22,5.236983521502804e-06,4.797185108106098e-06,1
23,4.936907525089654e-06,4.478510704559638e-06,1
24,4.538466376040808e-06,4.074108826288641e-06,1
25,4.150792030321265e-06,3.75164927436062e-06,1
26,3.809926909690892e-06,3.4586800987577727e-06,1
27,3.543651758015833e-06,3.2441339076652845e-06,1
28,3.3462198387662116e-06,3.06639641918161e-06,1
29,3.1618192918937313e-06,2.9076454110345255e-06,2
30,2.9895378181456843e-06,2.7680347376410495e-06,1
31,2.8451469419947403e-06,2.6368341836731256e-06,1
32,2.752283127682114e-06,2.5370117220506996e-06,1
33,2.6100985070859844e-06,2.421209439873892e-06,1
34,2.5246074073947968e-06,2.3348263778683286e-06,1
35,2.411659092600034e-06,2.226591022918001e-06,1
36,2.3112650590271434e-06,2.1653272862682082e-06,1
37,2.208575751865283e-06,2.062885922789053e-06,1
38,2.146994837940755e-06,2.0036101729901195e-06,1
39,2.0556869540913876e-06,1.919956930069924e-06,1
40,2.0017258463088763e-06,1.8641646186422024e-06,1
41,1.9335367224729533e-06,1.7934832069372052e-06,1
42,1.8485621363982898e-06,1.7415600852687952e-06,1
43,1.806815601991151e-06,1.681047416348531e-06,1
44,1.7483694616451182e-06,1.639970389349525e-06,1
45,1.6746629791503603e-06,1.5776943423899515e-06,1
46,1.6166532904290678e-06,1.5368275996044521e-06,1
47,1.580889273265546e-06,1.4918056089446955e-06,1
48,1.5286605048459023e-06,1.448818516985496e-06,1
49,1.488151703432033e-06,1.4103922754510231e-06,1
50,1.4431487282060765e-06,1.3722820585826413e-06,1
51,1.398221965328875e-06,1.3439655997204703e-06,1
52,1.3846171681176532e-06,1.302293207773343e-06,1
53,1.368662263055078e-06,1.2755863489084212e-06,1
54,1.3131621579470282e-06,1.2405649954557956e-06,1
55,1.2664123443590307e-06,1.227287444092987e-06,1
56,1.2597843570719388e-06,1.184376661111861e-06,1
57,1.2179138800340958e-06,1.1620865032974897e-06,1
58,1.195229058132761e-06,1.1393200240140602e-06,1
59,1.1729176780632274e-06,1.1107728856609214e-06,1
60,1.1478401575004683e-06,1.0906607968304653e-06,1
