epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.07314136055766633,0.0003412251500412822,13
1,0.00014672468235772668,6.486045948060398e-05,12
2,2.861561095624259e-05,2.061709043284116e-05,12
3,1.3483074267931057e-05,1.4237502552780577e-05,13
4,9.788317969209995e-06,1.1020488038246351e-05,13
5,7.474069190776032e-06,8.627186206550422e-06,13
6,5.877744854484318e-06,7.385496964244257e-06,13
7,4.7285619339990345e-06,5.98602987751788e-06,13
8,3.89605063758085e-06,5.130908145722721e-06,12
9,3.3009465154133397e-06,4.819646895736117e-06,13
10,2.799271015894853e-06,3.923722453526518e-06,14
11,2.411210012117711e-06,3.6044803114650264e-06,14
12,2.1084991749376057e-06,3.222791315651689e-06,14
13,1.8803085452721765e-06,2.912628113501176e-06,13
14,1.6557105616701654e-06,2.506246814432829e-06,13
15,1.463649298812291e-06,2.282634859511745e-06,14
16,1.2874035995936896e-06,2.0763100829671285e-06,14
17,1.173482746129263e-06,1.8432678412368246e-06,13
18,1.0303468187692377e-06,1.7709987043252279e-06,13
19,9.547836406537416e-07,1.505548414735875e-06,13
20,8.462278534407783e-07,1.4452868878255354e-06,13
21,7.545670364792882e-07,1.2654946464284545e-06,13
22,6.960774144593443e-07,1.2050101234060342e-06,13
23,6.202604072865198e-07,1.0478981576769993e-06,13
24,5.568010657787619e-07,1.0154691864789295e-06,13
25,4.967976473739272e-07,8.898685159279425e-07,13
26,4.564078339943521e-07,8.216998259575286e-07,13
27,3.994126511150336e-07,7.13789504929578e-07,13
28,3.6766738594451453e-07,6.575160205102293e-07,12
29,3.1961266265143145e-07,6.419268782503257e-07,13
30,3.152722246423681e-07,5.531347133827777e-07,13
31,2.7160568292443216e-07,4.830458484858271e-07,15
32,2.3421294149143664e-07,4.434471400765522e-07,13
33,2.1677200953545803e-07,3.9667057122146203e-07,14
34,1.9283642998771304e-07,3.614512542588438e-07,14
35,1.7734991723211186e-07,3.2453722724312685e-07,13
36,1.6628367243218677e-07,3.0524404885248013e-07,13
37,1.3691395967422675e-07,2.8472230899916957e-07,13
38,1.2585573450919722e-07,2.7204199671938443e-07,13
39,1.3262897172436086e-07,2.3592524795193722e-07,13
40,1.1237046117623157e-07,2.0796117212285025e-07,13
41,9.65782405452928e-08,1.8887641286627596e-07,14
42,9.534100521098783e-08,1.609459595577143e-07,14
43,8.614562006131922e-08,1.4893948177400902e-07,17
44,7.97899567990526e-08,2.083001287577314e-07,14
45,8.665032975262545e-08,1.4656476382283886e-07,13
46,6.930566390413636e-08,1.3371134080195837e-07,12
47,7.359473744200482e-08,1.0353992598249368e-07,13
48,7.217530041585137e-08,1.5881852112381072e-07,12
49,6.180312162183382e-08,1.2107890959420977e-07,13
50,1.1341513488856215e-07,1.763658745155474e-07,14
51,6.881749785944438e-08,1.0210618277348906e-07,14
52,1.0316878699816726e-07,1.6435215911769773e-07,15
53,1.0407223146557953e-07,6.641798176009284e-08,13
54,2.336932396274554e-07,6.208581857756393e-08,15
55,7.974473310517197e-08,2.3131860127085185e-07,14
56,2.20026123267389e-07,4.219177786911711e-07,14
57,2.967512116097995e-07,4.6098886214580985e-08,15
58,1.6575546674451318e-07,5.3294086228561354e-08,14
59,3.6260167961231533e-07,1.9778767409661669e-07,14
60,2.381993078991014e-07,2.211022200009955e-07,13
61,2.9746894649185903e-07,4.6706917766476347e-07,13
62,3.888496852368917e-07,2.060120901991137e-07,13
63,2.951090511167174e-07,6.668637411166856e-08,14
64,2.0122421994983596e-07,2.6289725569354645e-07,13
65,3.563909580369303e-07,5.230613566130738e-07,13
66,4.015016223723416e-07,4.6164936484480925e-08,14
67,2.8058174673057663e-07,2.1905836009946968e-07,12
68,4.06814741573023e-07,6.808242677503917e-08,13
69,8.778343310986905e-07,9.003663638974435e-08,13
70,2.332756917777453e-08,2.5498979025232157e-08,13
71,2.994490857166497e-07,1.970066461415792e-06,13
72,2.5579241904284973e-07,2.7056035378336674e-07,12
73,4.660629726534656e-07,3.4254238099410116e-07,12
74,2.2267471887134476e-07,2.2784700418428242e-07,12
75,3.6235125659757297e-07,1.699515598474477e-08,12
76,3.6809129914869034e-07,3.1693297573424805e-08,14
77,3.886155628764975e-07,7.06496684870217e-07,13
78,4.3750318476061997e-07,2.00179148867557e-07,13
79,2.951614466267625e-07,4.805264730252516e-07,14
80,4.0268893449516933e-07,6.101645598474451e-08,13
81,3.290985873339499e-07,3.2143314580356344e-07,13
82,4.1911320178440525e-07,2.0758411768507687e-08,13
83,3.039841715358255e-07,1.5358040224617236e-08,13
84,3.1213111923238324e-07,1.0179049468206359e-07,13
85,3.8225369580445523e-07,5.161622423408765e-07,13
86,3.259771655467775e-07,2.317966866691925e-07,13
87,4.957964706453353e-07,7.094487056168542e-08,12
88,3.1325540828029057e-07,1.9322946404413827e-06,13
89,1.8834030106776564e-07,7.802886251407803e-07,13
90,5.667707799171301e-07,5.127939299530805e-08,14
91,2.912683678296231e-07,1.8766736833309882e-07,13
92,3.5274345308587066e-07,1.6119470522178083e-07,13
93,2.6412981812933886e-07,2.468100213739242e-08,13
94,4.646063817619272e-07,4.874468132501616e-07,13
95,2.8338946935601793e-07,8.18874469711194e-08,13
96,2.9356953390385404e-07,9.33734502888745e-08,13
97,4.355252594388565e-07,1.2384924998927587e-07,13
98,2.930986862342059e-07,3.019648501508114e-08,13
99,4.9275522126635e-07,1.5408905253169987e-08,13
100,2.1119262588428863e-07,2.567163660800857e-08,13
101,5.765106707723465e-07,2.1115068813576892e-07,11
102,2.1420762810076998e-07,1.173291577949633e-06,11
103,3.4499674624407475e-07,2.3296091636769813e-06,11
104,6.125034673895395e-07,3.660290458769437e-08,13
105,5.4169488961167385e-08,1.5441408653383737e-07,12
106,4.0622811821125733e-07,1.0254753222744222e-08,12
107,4.1911233392277087e-07,9.415511385507165e-09,12
108,2.5015564665107886e-07,8.241837425063377e-09,12
109,4.132803082774346e-07,5.377561947997575e-07,12
110,2.535275959281831e-07,1.4670086635636505e-06,11
111,5.917990765298823e-07,1.6002123650402857e-08,12
112,9.574056341881401e-08,9.671000456860796e-07,12
113,4.429979330297735e-07,3.3437982190000845e-08,13
114,3.1294065704053873e-07,6.923709241329396e-07,13
115,6.304260912503596e-07,5.889270646135132e-07,13
116,1.1690323962920354e-07,1.3898022475896968e-08,14
117,3.1430888937868737e-07,1.0676317350027437e-07,12
118,6.216303248117694e-07,1.810399040054604e-07,13
119,1.2328890705409935e-07,5.832087316031737e-08,13
120,3.1931093310917774e-07,3.527955341269262e-06,12
121,5.827574530034994e-07,3.695870182127692e-06,14
122,2.235231848920729e-07,9.043644010634208e-09,14
123,4.131134513739217e-07,4.277342048391636e-07,12
124,2.4552258031990294e-07,5.056703106344106e-07,13
125,3.986996973191543e-07,3.07399173752029e-07,13
126,1.6992284958295194e-07,1.7680000093440124e-07,13
127,4.827762896323664e-07,2.3380043826777678e-07,12
128,2.5900197108237055e-07,2.154566215970342e-06,13
129,3.816318755653039e-07,2.9499808492387685e-07,12
130,2.2930596112714877e-07,4.913942062888633e-07,13
131,3.81152878419195e-07,8.384554001333361e-07,13
132,4.5477208680821945e-07,9.252861259896732e-08,13
133,3.1429878879666006e-07,1.0469483232678944e-08,13
134,3.5091128590464094e-07,3.8509903003035687e-07,12
135,6.084104941302051e-07,1.4962795899267885e-08,13
136,9.273681099572579e-08,1.6528586932260872e-08,13
137,3.095849985317648e-07,9.3148756328467e-09,12
138,2.758772460413356e-07,9.572489551084635e-08,13
139,4.676380598406619e-07,1.518903027111016e-08,13
140,2.646212543839922e-07,9.624640882644929e-07,12
141,3.6379235566924404e-07,5.372094173336253e-07,13
142,2.8378208564776507e-07,1.319488312054256e-06,13
143,3.1620065804686834e-07,6.256201924191952e-08,13
144,3.601091305661226e-07,1.509979974591922e-08,14
145,3.394891341928547e-07,3.288697169781781e-08,13
146,5.290341305431947e-07,6.777937141645328e-09,13
147,2.457448158488184e-07,1.458645684496415e-06,15
148,1.4053519514894132e-07,7.961079261969479e-07,14
149,6.599990286633095e-07,8.45960853026058e-07,13
150,7.98070883384989e-08,4.5609521624679806e-07,13
151,5.288578926459223e-07,3.5149082681197216e-08,12
152,2.99116324464938e-07,2.0203787037396317e-07,13
153,3.713722486219003e-07,9.66046418294685e-09,13
154,1.574808261571892e-07,7.828477414891082e-07,12
155,4.059832005608679e-07,8.331541266670683e-08,13
156,2.109854362160921e-07,5.098422102905302e-06,12
157,4.83718420478916e-07,3.3376988772815252e-09,13
158,2.420154317351572e-07,3.7991902900103015e-07,13
159,3.708325479604727e-07,1.5562460320821132e-08,13
160,3.1794559440055364e-07,7.549762151690878e-07,12
161,3.597098892910391e-07,2.7425944856738415e-07,13
162,3.6189964796156373e-07,1.803338772209496e-08,13
163,2.4337945176732706e-07,3.634083622159536e-09,13
164,2.8729739999170424e-07,3.339010458024528e-08,12
165,3.0283284740801955e-07,1.8080667359754442e-06,12
166,4.1254987778337906e-07,1.8269480609557252e-08,14
167,2.9413399688343047e-07,1.2392325619326914e-07,14
168,3.101027976203273e-07,5.587006653681473e-09,13
169,7.190415372352018e-07,4.889153204310695e-09,13
170,9.06413165173972e-09,4.865581534442175e-09,14
171,3.093609908253739e-07,1.6685098382202507e-07,13
172,2.801491307382541e-07,6.83301142006795e-07,13
173,3.630635145253619e-07,3.5743504254655406e-07,13
174,2.7622562216255243e-07,4.4795466665319015e-09,13
175,3.895536102126283e-07,3.167902276259647e-09,13
176,3.19545576614773e-07,3.243776513334689e-08,14
177,3.3608899460349757e-07,4.2781230562964497e-07,13
178,4.7162056637606645e-07,6.848086513855379e-08,13
179,2.4793521043207963e-07,1.2103706715358632e-07,13
180,4.2466843155802343e-07,6.6702670167082736e-09,13
181,3.027404764123187e-07,1.5235114716977643e-06,13
182,1.5527803163967685e-07,6.580744277264537e-08,12
183,3.6530870088052387e-07,3.680788609017327e-08,12
184,3.1097991380720074e-07,2.503867641611247e-07,13
185,2.969708423111425e-07,2.374877381457323e-08,13
186,4.4944970519474847e-07,9.947034103871292e-09,12
187,2.439758337667886e-07,1.1494459084298631e-06,12
188,3.2081301205395943e-07,6.683473946561042e-08,12
189,2.861095314180988e-07,8.262678999347951e-08,14
190,3.0641101869380547e-07,6.5240999786391805e-09,13
191,2.6085208552882305e-07,1.703192116441311e-07,13
192,3.7437960817778973e-07,3.743300116745083e-09,13
193,2.8747739632351e-07,5.362004613247832e-08,14
194,4.283393413505688e-07,4.11187219883273e-06,13
195,3.191702402738563e-07,1.378978039280231e-07,13
196,3.202837528213174e-07,1.38835855729915e-07,13
197,3.5577970949903076e-07,4.5554307028148533e-07,12
198,1.6585722643082012e-07,3.574454803418286e-08,13
199,4.3412458218569733e-07,9.099988330324943e-07,13
200,2.9213982811752845e-07,1.5515286763316412e-07,13
201,3.7116139847518415e-07,7.580934565835791e-08,12
202,3.539314441822357e-07,9.799130690556591e-08,13
203,1.7722932232458383e-07,7.713792683716747e-08,13
204,3.9128543598928553e-07,7.532359435654971e-08,13
205,2.8949439010902375e-07,5.4447151569547716e-08,15
206,3.508368192831657e-07,1.0539992300354326e-08,14
207,2.656679872251633e-07,4.133480880403278e-09,20
208,2.751181699432498e-07,3.399975313103906e-07,13
209,4.313438823234347e-07,1.2866988237709103e-08,22
210,5.309647706441553e-07,8.054161025938811e-07,26
211,7.083833441913784e-08,4.6781501823871125e-09,16
212,6.041784849689411e-07,1.2865630946056296e-08,15
213,9.588306719158257e-09,1.586639823162014e-08,15
214,2.8264768330966595e-07,1.1471541669875891e-07,13
215,3.0052521467013955e-07,2.014329202831339e-08,13
216,2.855201179574069e-07,4.652086891548441e-08,13
217,8.481584764170131e-07,2.215849910333583e-06,13
218,1.5596399498043276e-07,3.839339651857575e-09,14
219,8.181459918674896e-09,1.0424510890061356e-08,14
220,3.9326161083734366e-07,2.5120390042006463e-06,14
221,2.1095134666260902e-07,2.994632342795905e-07,13
222,3.934435327781819e-07,1.1850628383895541e-07,13
223,2.3071688220064536e-07,1.8752333413761914e-07,14
224,2.5516432556959115e-07,2.194665859695471e-07,12
225,3.9350082618784825e-07,1.415474037778288e-08,12
226,3.181521242462774e-07,9.768398327154997e-08,14
227,2.994638655670976e-07,5.806320950796362e-07,13
228,3.5516888087520106e-07,6.522933063024539e-08,13
229,2.443674233399468e-07,3.7251840426093125e-08,13
230,2.813175102564261e-07,2.597308249686524e-09,15
231,4.202316116943819e-07,2.5607079652671544e-09,16
232,3.0871981104235554e-07,8.848759927621524e-08,15
233,2.627185821581585e-07,5.778342914456144e-09,14
234,4.802650341489933e-07,3.037746464071037e-09,14
235,1.00101484790762e-07,3.786046606406175e-08,14
236,3.250813819831957e-07,7.790829117353001e-08,14
237,3.2595524255680864e-07,3.9935559636267665e-07,14
238,4.192451916737534e-07,7.504668776515577e-09,13
239,1.6701893388574004e-07,2.2462921523666326e-07,14
240,2.674273655558905e-07,4.4889040292549575e-08,13
241,3.4548344680987695e-07,2.0979492340054342e-07,14
242,2.299875756642979e-07,2.6211824082235e-07,15
243,4.26484151341466e-07,1.35287576664599e-07,14
244,1.9015805138727074e-07,5.873478882924908e-07,14
245,3.6476444991122167e-07,4.0364988887052854e-07,18
246,2.7547574633884066e-07,5.405073693509621e-08,17
247,3.214232764631478e-07,5.992619669179724e-09,17
248,2.6853541639366776e-07,4.875083876950984e-08,22
249,4.048216077428675e-07,1.0383399701264682e-08,17
250,1.909877928246336e-07,3.0811425346076826e-06,19
251,3.924086868408088e-07,3.1821430339236526e-08,17
252,1.895929828100751e-07,4.1747335423927075e-07,20
253,3.52722802627127e-07,1.821138564330547e-07,20
254,3.184484878869226e-07,2.3052094568563256e-08,18
255,2.226981962936944e-07,7.057182280980421e-09,18
256,2.3097193012190612e-07,2.70038871845331e-08,19
257,5.288486833514774e-07,1.760686553159923e-08,16
258,2.0152249197897215e-07,1.8660482882379172e-07,21
259,2.3594294084070747e-07,1.4802416940669486e-07,19
260,2.9055714407719233e-07,9.055113604393807e-09,20
261,3.4799122934090015e-07,7.837438963840462e-08,18
262,2.7605599161154605e-07,1.5049521400876322e-07,16
263,2.6780015759765193e-07,8.154819397532265e-08,14
264,3.4059064010576053e-07,4.265705981445287e-07,17
265,2.5007421003513656e-07,1.7189754880126367e-08,19
266,3.5029844678743675e-07,1.1029654791111006e-08,20
267,3.9085162506260283e-07,1.6201196860844323e-08,18
268,1.1971990154446494e-07,4.7371971876683266e-07,21
269,3.871264552200824e-07,7.6509717478695e-09,33
270,1.98414654422429e-07,4.3751984797133696e-08,18
271,3.6000643113644836e-07,3.1102082364110504e-09,22
272,3.2705427133482666e-07,1.934850409022395e-08,30
273,2.3976947104387135e-07,4.633826812362362e-09,18
274,5.264360013465345e-07,1.0473278280187515e-07,18
275,3.703887836641598e-08,9.554733816747268e-08,18
276,4.290440569293363e-07,2.431980395653258e-09,18
277,3.885061958661269e-07,2.6345038564427754e-08,16
278,2.3229695172427062e-07,1.3165527839605188e-06,17
279,1.3288195084123455e-07,1.8100843652229578e-08,16
280,2.806687940214874e-07,1.2099407905969367e-07,19
281,4.877890490339548e-07,1.562940354915554e-08,18
282,1.5764460198677413e-07,1.05900800752517e-06,18
283,3.8270230849020217e-07,1.9623054661430863e-07,16
284,2.2731011311417536e-07,1.199501434712147e-07,10
