epoch #,Training loss,epoch_time (seconds)
0,1.086676001548767,1078
1,1.0499005317687988,888
2,1.0123682022094727,750
3,0.974078893661499,714
4,0.9350360631942749,811
5,0.8952465057373047,707
6,0.8547198176383972,683
7,0.8134684562683105,655
8,0.7715075016021729,684
9,0.7288544774055481,701
10,0.6855287551879883,705
11,0.6415523290634155,684
12,0.5969478487968445,702
13,0.551740288734436,695
14,0.5059552192687988,699
15,0.45961934328079224,712
16,0.41276028752326965,699
17,0.3654051125049591,693
18,0.3175819218158722,690
19,0.26931899785995483,698
20,0.22064393758773804,695
21,0.17158366739749908,686
22,0.12216558307409286,709
23,0.0724157840013504,704
24,0.022359374910593033,676
25,,623
26,,624
27,,630
28,,627
29,,618
30,,637
31,,621
32,,616
33,,619
34,,617
35,,618
36,,626
37,,621
38,,619
39,,610
40,,618
41,,617
42,,617
43,,620
44,,625
45,,619
46,,623
47,,618
48,,627
49,,0
