epoch #,Training loss (MSE),Validation loss (MSE)
0,0.004707918777996891,0.0006665441409284032
1,0.000617951122942821,0.000634148396039923
2,0.0005960577966233845,0.0005941676677794867
3,0.0005582627867413468,0.0005410250052972156
4,0.00044617640414517084,0.00037828994025530425
5,0.00030022514431264483,0.00024010941740206638
6,0.00021369353797676604,0.0002092857137836819
7,0.00019854898731469704,0.0002108510967403607
8,0.00019531755824573339,0.00020853988812738207
9,0.0001859569258905781,0.00018498773820600797
10,0.00018601350327448327,0.00019605484923759345
11,0.00018076689723453145,0.00018057884170597982
12,0.0001782111891467745,0.0002075956982755384
13,0.0001733921836906423,0.00019399816167627482
14,0.00018070577519725605,0.00016660512496749762
15,0.00016792392955602024,0.00016531211237401464
16,0.00017051550881420948,0.00016462235775137278
17,0.00016697715569013197,0.00016387619049732335
18,0.00015775320826769742,0.00015497021715503271
19,0.00015274669332953185,0.00015222382018353445
20,0.00015919163792444638,0.0001607798436875888
21,0.00015736312441646966,0.00016349253480236025
22,0.0001498915395625441,0.00014578851361537006
23,0.00015220097848214209,0.00014356667660501635
24,0.00013539358878069622,0.00013079149350740535
25,0.00013287987182360837,0.00013302602574397096
26,0.00013719528965162864,0.00013652386916747188
27,0.0001338068066686464,0.0001291742861720322
28,0.0001261739824201854,0.00011908517206943226
29,0.000123264265231799,0.0001277534845474631
30,0.00011559319781688179,0.00011401903527236522
31,0.0001107356471010455,0.00011850219831780292
32,0.0001105873531128583,0.0001057081255482423
33,0.00010332892280678416,0.00010569190594968711
34,9.360622180095159e-05,9.125807179749922e-05
35,8.883362014637178e-05,9.32244005271905e-05
36,8.55520042403991e-05,8.67182174345565e-05
37,8.136129619051926e-05,7.6915938637306e-05
38,7.324115653628801e-05,7.801072636137305e-05
39,6.716829033563087e-05,6.456733545894886e-05
40,6.106284098106783e-05,5.799299896204692e-05
41,5.7706729320099924e-05,5.7550182201910416e-05
42,5.3818392448439515e-05,5.1720722221097976e-05
43,4.7865120390368725e-05,4.733176438305744e-05
44,4.20625739173184e-05,4.1274897443525884e-05
45,4.060271459975904e-05,4.904840407530279e-05
46,3.91258148089784e-05,3.716314963111113e-05
47,3.556848061789917e-05,3.8162794141477884e-05
48,3.522981767659527e-05,3.6385485128808204e-05
49,3.350846623494687e-05,3.313679212307e-05
50,3.11299675157115e-05,3.57983238436011e-05
51,3.3413613701393544e-05,3.675382422231853e-05
52,3.1116703831339834e-05,3.325358314235251e-05
53,2.8841739273160813e-05,2.973401774503399e-05
54,2.878006542500383e-05,3.0620686363342194e-05
55,2.80203805697627e-05,3.288977136964054e-05
56,2.8572175387823737e-05,3.128617905150709e-05
57,2.7700083219949807e-05,2.9178358445913248e-05
58,2.719219244949794e-05,3.2210984271693824e-05
59,2.6344083380536176e-05,2.816475721903221e-05
60,2.5959798109369324e-05,2.8006012956232786e-05
61,2.7358265978991698e-05,2.767646722553087e-05
62,2.6146954682077167e-05,2.829462126439551e-05
63,2.527839178512732e-05,2.8943072323082287e-05
64,2.592883613752472e-05,2.694588986128639e-05
65,2.7046984132891883e-05,2.8327274911896174e-05
66,2.4841032940768025e-05,2.6121837825400667e-05
67,2.4736384951866904e-05,2.5945321985366104e-05
68,2.4304605957617904e-05,2.6622674425219207e-05
69,2.467488655863355e-05,2.96382051982259e-05
70,2.4111904456576173e-05,2.856866746252879e-05
71,2.373889417007616e-05,2.4552368724767422e-05
72,2.2587034418252152e-05,2.2525476903632977e-05
73,2.143097301241635e-05,2.3715331168881844e-05
74,2.2149774653822646e-05,2.2101116942500338e-05
75,2.1872597437689456e-05,2.5500996293145405e-05
76,2.1914108300163292e-05,2.1960674323138868e-05
