epoch #,Training loss (MSE)
0,0.0013750795622807785
1,0.0007095626124355476
2,0.0004938127055242093
3,0.0003012625504158099
4,0.0002508514349200678
5,0.00024221892435029573
6,0.0002392487543331685
7,0.00023930669331104692
8,0.00023700800171531174
9,0.00023455215977137965
10,0.0002322950786602274
11,0.00023042015744916474
12,0.00023447572635522
13,0.00022972275451827568
14,0.0002315866583623133
15,0.00022643272401800266
16,0.00022813362932665217
17,0.00022167264816181905
18,0.00022220457003233163
19,0.00021788435560213685
20,0.00022037946585844496
21,0.00021585368713942553
22,0.00021473882819797533
23,0.0002126558242898406
24,0.00020896606886173797
25,0.00020800174077246055
26,0.00020730376327375062
27,0.0002037324983464328
28,0.00020113787582059475
29,0.00019948368856443488
30,0.0001953647395130247
31,0.0001922263359442833
32,0.00019207338644650228
33,0.000185883456239632
34,0.00018480177349799003
35,0.0001802948839913094
36,0.00017602760239793553
37,0.00017243865841054217
38,0.00016861855831159505
39,0.00016339661020637404
40,0.0001565954598481767
41,0.0001491136778098404
42,0.00014025451042878998
43,0.00013146578452098324
44,0.00012073289570363352
45,0.00010894625710506895
46,9.568300446941672e-05
47,8.346773376141562e-05
48,7.170694785026805e-05
49,6.431071767865709e-05
50,5.917000688218236e-05
51,5.488853680104843e-05
52,5.2641237655321176e-05
53,5.028277102092309e-05
54,4.9572526321836366e-05
55,4.8655126865593376e-05
56,4.745520472660604e-05
57,4.612560370526008e-05
58,4.628862892334864e-05
59,4.503661523499018e-05
60,4.469299599617388e-05
61,4.3054550956929397e-05
62,4.279395831161475e-05
63,4.212450466311015e-05
64,4.163348640643314e-05
65,4.1253767516702117e-05
66,3.958189172739036e-05
67,3.9066357774462435e-05
68,3.809428330075179e-05
69,3.746807024744516e-05
70,3.703512689125174e-05
71,3.613159335950375e-05
72,3.5214103891507185e-05
73,3.4904112306927955e-05
74,3.3307302234761386e-05
75,3.242029149789067e-05
76,3.216183299170525e-05
77,3.1328659731750094e-05
78,3.0634420289777954e-05
79,2.9553792139543504e-05
80,2.898335947997332e-05
81,2.802567294565961e-05
82,2.7677461788037113e-05
83,2.7042127863916737e-05
84,2.6179370993773003e-05
85,2.5129876905173827e-05
86,2.424481953317864e-05
87,2.3922600103877343e-05
88,2.3110394990687907e-05
89,2.2497824481736947e-05
90,2.17479600583884e-05
91,2.1249180288357434e-05
92,2.033686376561298e-05
93,2.023152760551911e-05
94,1.9287223395429353e-05
95,1.8839026412134636e-05
96,1.805793762424869e-05
97,1.7505375997588448e-05
98,1.7004645200965268e-05
99,1.6595706154916885e-05
100,1.5862941788465392e-05
101,1.5411284304553358e-05
102,1.53178826074123e-05
103,1.463222315325049e-05
104,1.4239810512883582e-05
105,1.4010317025994564e-05
106,1.3597361961728894e-05
107,1.3016418994855926e-05
108,1.2919782201524041e-05
109,1.2571513890041828e-05
110,1.2357453723256405e-05
111,1.190092076329606e-05
112,1.1690835854868496e-05
113,1.1325591790878345e-05
114,1.1221541214388597e-05
115,1.1065221895257832e-05
116,1.0756156068082694e-05
117,1.0510739908072124e-05
118,1.0237066080800573e-05
119,1.0054910811105044e-05
120,9.884599593946901e-06
121,9.756367307338885e-06
122,9.49039583362967e-06
123,9.4295120491028e-06
124,9.446746261980451e-06
125,9.15403840543039e-06
126,9.058627005839354e-06
127,8.847069995626401e-06
128,8.74873079478813e-06
129,8.67648255558434e-06
130,8.600575816837426e-06
131,8.348223003229742e-06
132,8.39392761664578e-06
133,8.420961016588879e-06
134,8.10686626234449e-06
135,8.018018390154766e-06
136,7.996059806359744e-06
137,7.820320308631132e-06
138,7.763367959617454e-06
139,7.727034524302299e-06
140,7.633880618937617e-06
141,7.5626398710014515e-06
142,7.707304631119107e-06
143,7.382898470854288e-06
144,7.354311064993839e-06
145,7.284549986004343e-06
146,7.270393542002597e-06
147,7.12339402106767e-06
148,7.101032132182312e-06
149,6.913938492123799e-06
150,6.8664709661706265e-06
151,6.8279764451069766e-06
152,6.741915876663177e-06
153,6.691524804960919e-06
154,6.507281127624358e-06
155,6.4813271943201084e-06
156,6.36550958381232e-06
157,6.201248293247332e-06
158,6.16247372729986e-06
159,6.21342330939087e-06
160,6.021598755647905e-06
161,5.968607392567333e-06
162,5.994634789837591e-06
163,5.780896696953939e-06
164,5.65077956553344e-06
165,5.580815315128844e-06
166,5.556434436033614e-06
167,5.5210134641487406e-06
168,5.311360761135637e-06
169,5.376450753388009e-06
170,5.235611834960406e-06
171,5.114584677082321e-06
172,5.019652555182057e-06
173,4.983241560887219e-06
174,4.936338204557119e-06
175,4.823066020435363e-06
176,4.72816588598741e-06
177,4.662981628247177e-06
178,4.581800650736444e-06
179,4.533156697658397e-06
180,4.419654962076134e-06
181,4.344888541626543e-06
182,4.313697456437336e-06
183,4.178632937978501e-06
184,4.1545993921951745e-06
185,4.0175590886726485e-06
186,3.987704135824694e-06
187,3.92963450058508e-06
188,3.931618941902398e-06
189,3.824457290675403e-06
190,3.8390150184706285e-06
191,3.7227153370071337e-06
192,3.6829788175303043e-06
193,3.5968625005890235e-06
194,3.5216961441619786e-06
195,3.509993139893843e-06
196,3.488781708008239e-06
197,3.395374681173108e-06
198,3.3076096725022637e-06
199,3.347780465308901e-06
200,3.249569470936518e-06
201,3.2295090097635914e-06
202,3.1746327061531096e-06
203,3.1172296753952236e-06
204,3.063026271306488e-06
205,3.041382151478143e-06
206,3.0947678950669246e-06
207,2.91788739603803e-06
208,2.9463390988673903e-06
209,2.9906636221064466e-06
210,2.8824467326282475e-06
211,2.8890786423868453e-06
212,2.8294089021955823e-06
213,2.7908895398550985e-06
214,2.792318105452013e-06
215,2.7827231752422505e-06
216,2.7076577415562388e-06
217,2.7084624722385455e-06
218,2.6355762145227126e-06
219,2.6052586963487556e-06
220,2.5936820400492057e-06
221,2.624127250921006e-06
222,2.5709255380316984e-06
223,2.540205412246492e-06
224,2.522658671227184e-06
225,2.5115003400887047e-06
226,2.4971824101212955e-06
227,2.462552203379539e-06
228,2.4298076318287216e-06
229,2.3999700366182494e-06
230,2.419963810483971e-06
231,2.368205015899906e-06
232,2.371092024986865e-06
233,2.3563039425921903e-06
234,2.316261518734047e-06
235,2.3049747450193426e-06
236,2.287955825371076e-06
237,2.2531568226413307e-06
238,2.2065966627313614e-06
239,2.222017650279723e-06
240,2.2239894439707948e-06
241,2.2313395809650307e-06
242,2.1419817932672396e-06
