epoch #,Training loss (MSE),Validation loss (MSE),epoch_time (seconds)
0,0.003245789068751037,0.0011797508285872592,0
1,0.0008569516885009679,0.0004831937687566955,0
2,0.00041154065783220256,0.0002481601829459798,0
3,0.0002324335778724741,0.00014025654465174128,0
4,0.00014347771140323443,9.069966798740792e-05,0
5,9.880628764883361e-05,6.40639395529682e-05,0
6,7.495873343114826e-05,4.807520098658857e-05,0
7,5.9642636320363225e-05,4.1739163368575925e-05,0
8,5.095068759560077e-05,3.308833958794397e-05,0
9,4.325285418996249e-05,3.1982203381517844e-05,0
10,3.9976390908122995e-05,2.535900218204034e-05,0
11,3.422465330169706e-05,2.3007203789748923e-05,0
12,3.1232588589773514e-05,1.9429317082698537e-05,0
13,2.7593720323321493e-05,1.7427711396261917e-05,0
14,2.4211344108070162e-05,1.8359613877353086e-05,0
15,2.480870459376919e-05,1.6035601205748554e-05,0
16,2.1413344782724214e-05,1.4341831248761906e-05,0
17,1.8861770176127637e-05,1.2673525282406677e-05,0
18,1.8386907851725646e-05,1.3348672297488181e-05,0
19,1.6502475078926762e-05,1.1516454620697168e-05,0
20,1.5254149190943943e-05,1.0127227174984768e-05,0
21,1.4024423054996244e-05,9.360071529253959e-06,0
22,1.324051160984461e-05,9.804919931897677e-06,0
23,1.2400519785428928e-05,9.349735208511531e-06,0
24,1.1535712513829242e-05,7.720511061029496e-06,0
25,1.0948755648727951e-05,8.05632252392926e-06,0
26,1.16015405298888e-05,1.1559829173216622e-05,0
27,1.2093013333056165e-05,9.080376621116653e-06,0
28,1.0380083370943215e-05,7.158822317143847e-06,0
29,9.20203083131293e-06,6.274912661893773e-06,0
30,8.330960579108002e-06,5.92043199684447e-06,0
31,7.949053347560535e-06,5.987849879331282e-06,0
32,7.507607965222137e-06,5.95105364753305e-06,0
33,7.140929185631897e-06,5.477002377012457e-06,0
34,7.3699210571992975e-06,5.900923294705405e-06,0
35,6.859771580242192e-06,5.352199429315146e-06,0
36,6.236644621822052e-06,4.814520077686793e-06,0
37,5.782206204788632e-06,4.510268672957463e-06,0
38,5.535528742422519e-06,4.0421509051981804e-06,0
39,5.795402827392205e-06,4.844533225352607e-06,0
40,6.019646275076824e-06,4.350460615721842e-06,0
41,5.418578439275734e-06,4.502958319835388e-06,0
42,5.018281443137146e-06,4.220988433624608e-06,0
43,4.7602571645587555e-06,3.4708156764840992e-06,0
44,4.5211305793848374e-06,3.5039586434113686e-06,0
45,4.349858364466027e-06,3.5744883954625865e-06,0
46,4.622219788540281e-06,3.6021484921090537e-06,0
47,4.444820335100468e-06,3.841565792370275e-06,0
48,4.73862459082077e-06,3.3541734866833715e-06,0
49,3.854272846100767e-06,2.9026591857574933e-06,0
50,3.5820047494119286e-06,4.614794624674077e-06,0
51,3.9759949967529706e-06,2.9765904273743624e-06,0
52,3.4908137257099786e-06,2.821558075016097e-06,0
53,3.3380277702897067e-06,2.714538832207938e-06,0
54,3.154911575455282e-06,2.5808045027147755e-06,0
55,3.082971399470063e-06,2.4045709698093674e-06,0
56,2.921619172659782e-06,3.3810627631830796e-06,0
57,3.1331114620446564e-06,2.417503895552761e-06,0
58,2.885585347691879e-06,2.2587601098104347e-06,0
59,2.804359143986155e-06,2.211762736371146e-06,0
60,2.726790927970962e-06,2.420444013595618e-06,0
61,2.7527344921261165e-06,2.2904638180932932e-06,0
62,2.4974632056414107e-06,1.9923533650879062e-06,0
63,2.4452270049964267e-06,2.132973111696154e-06,0
64,2.439007073255859e-06,2.215256946916236e-06,0
65,2.312898545410876e-06,1.907747262419615e-06,0
66,2.2627993108802582e-06,1.9795828054456425e-06,0
67,2.2063002403559618e-06,2.001583077471652e-06,0
68,2.2438682026404423e-06,1.9762865943827046e-06,0
69,2.0572372857879435e-06,1.7692631275207058e-06,0
70,2.0354854140433334e-06,1.6990530073553882e-06,0
71,1.913689014724117e-06,1.6540314383961254e-06,0
72,1.8663511971019696e-06,1.7309466854402338e-06,0
73,1.8149599583756009e-06,1.8110944848778887e-06,0
74,1.8871402260794474e-06,1.6400895291728873e-06,0
75,1.8609337451959039e-06,1.7119345021619778e-06,0
76,1.8859947795135667e-06,1.7492938840128456e-06,0
77,1.7185041377326177e-06,1.5346042163462992e-06,0
78,1.6388183894378017e-06,1.6268527909046525e-06,0
79,1.5864686648373291e-06,1.405522243940649e-06,0
80,1.5601887005025425e-06,1.6032226683887106e-06,0
81,1.5178659123193938e-06,1.40236964596071e-06,0
82,1.4223840658318791e-06,1.4596207470361303e-06,0
83,1.4097387884248746e-06,1.3920072723753636e-06,0
84,1.3703382141598427e-06,1.4972194287777637e-06,0
85,1.3785666690389255e-06,1.2936420418317657e-06,0
86,1.350412116235847e-06,1.2578820026008667e-06,0
87,1.3538927776773397e-06,1.3322931202293481e-06,0
88,1.3004934966044279e-06,1.2448322929925758e-06,0
89,1.2703052218719015e-06,1.3860754720356098e-06,0
90,1.281359735995383e-06,1.260949938825987e-06,0
91,1.275425703087504e-06,1.227535734875538e-06,0
92,1.2234078365674412e-06,1.3283660343251811e-06,0
93,1.1934744634345407e-06,1.1725694730275283e-06,0
94,1.1449284623019841e-06,1.2489460300316495e-06,0
95,1.1492215398075958e-06,1.2435710079009131e-06,0
96,1.1858564746283015e-06,1.214672836100385e-06,0
97,1.1431127966881666e-06,1.186185135358518e-06,0
98,1.0785535216035152e-06,1.1301068582623156e-06,0
99,1.054222647408923e-06,1.1734965976203334e-06,0
100,1.0850161362957971e-06,1.1590468232226942e-06,0
101,1.0505890612545376e-06,1.203692443734484e-06,0
102,1.0111665080165205e-06,1.0743426105646504e-06,0
103,1.0083013586898397e-06,1.0253343870746948e-06,0
104,9.920036249737182e-07,1.0657879451320232e-06,0
105,1.0189516131669568e-06,1.1177220623654163e-06,0
106,1.0006240782703654e-06,1.1098903961164584e-06,0
107,1.0193550451731427e-06,1.063288937484968e-06,0
108,1.046635140317614e-06,1.0585198414847576e-06,0
109,9.714552416798224e-07,1.1599684707084775e-06,0
110,9.61840408887259e-07,9.546340762110208e-07,0
111,8.918845589340146e-07,9.316517611386533e-07,0
112,8.865812806520394e-07,9.464977330359452e-07,0
113,8.637391779715968e-07,9.909258497539876e-07,0
114,8.645674953103562e-07,9.608235554370362e-07,0
115,8.490376893116097e-07,9.749109766100378e-07,0
116,8.547106786367791e-07,9.13814769915261e-07,0
117,8.328411414285338e-07,9.395300192759435e-07,0
118,8.267307147103896e-07,9.723034849998586e-07,0
119,8.120295449936582e-07,8.649365736346226e-07,0
120,8.100277461215393e-07,8.979901963498632e-07,0
121,7.88841913700625e-07,9.214773434882914e-07,0
122,7.875490760770018e-07,8.601173721731554e-07,0
123,8.361379195775953e-07,8.444536203049731e-07,0
124,7.88990034214459e-07,9.000504047203632e-07,0
125,7.588282884088668e-07,8.707063521113421e-07,0
126,7.408140564538454e-07,8.293413215966968e-07,0
127,7.259239956428329e-07,8.47243955826151e-07,0
128,7.171478252778549e-07,8.124786260076752e-07,0
129,7.209248780203449e-07,8.872672399758236e-07,0
130,7.389712339483429e-07,9.61130162158387e-07,0
131,7.555331471435652e-07,8.992401597153606e-07,0
132,7.274619580047411e-07,8.356558109683291e-07,0
133,6.892557975003332e-07,8.001423910410148e-07,0
134,6.860209823984901e-07,8.02541025567627e-07,0
135,6.773818493208885e-07,7.994051556384615e-07,0
136,6.714643987751597e-07,7.746462253539367e-07,0
137,6.942211490985012e-07,8.60185620260144e-07,0
138,7.068610096377431e-07,7.965012173936992e-07,0
139,6.728932868844078e-07,7.892090075469953e-07,0
140,6.470327703440985e-07,7.719386900468144e-07,0
141,6.417017605351496e-07,7.890798049415003e-07,0
142,6.220239096034096e-07,7.310829297911487e-07,0
143,6.195033004339414e-07,7.553712044761557e-07,0
144,6.257220273007327e-07,7.682435563612942e-07,0
145,6.170389538469449e-07,8.139585406893529e-07,0
146,6.156211688076755e-07,7.098619994818218e-07,0
147,6.434970081996157e-07,7.725047774566401e-07,0
148,6.301177524454198e-07,7.493255200061183e-07,0
149,5.980422274247261e-07,7.081484744483769e-07,0
150,5.894805341003203e-07,7.184420312724621e-07,0
151,5.747458528110821e-07,7.189683366920255e-07,0
152,6.156098828052399e-07,7.387131117103754e-07,0
153,5.935225699845019e-07,7.729598075417491e-07,0
154,5.866863235000479e-07,7.246686385012892e-07,0
155,5.969634143680609e-07,7.442304831077856e-07,0
156,5.641184797737383e-07,7.215682264729214e-07,0
157,5.477435510411769e-07,6.588218154887931e-07,0
158,5.581438860893038e-07,6.443993849151982e-07,0
159,5.589826774997742e-07,7.291021668702879e-07,0
160,5.452841883817944e-07,7.650630984967421e-07,0
161,5.583093027119255e-07,6.979457674949134e-07,0
162,5.667939907735589e-07,6.98405399446681e-07,0
163,5.434375558169532e-07,6.527121131201406e-07,0
164,5.369125116513632e-07,6.748883382084014e-07,0
165,5.224305244734172e-07,6.489510530588197e-07,0
166,5.484050193031593e-07,6.762558092567651e-07,0
167,5.341717726216963e-07,7.247361779873979e-07,0
168,5.505717941063764e-07,6.653758702417329e-07,0
169,5.167049647008587e-07,6.248337277323326e-07,0
170,5.013476001377884e-07,6.767363169929465e-07,0
171,5.175590463708928e-07,6.33287762483808e-07,0
172,5.395950837406748e-07,6.424948015600709e-07,0
173,5.312484090195953e-07,6.535669289863204e-07,0
174,4.992258777747338e-07,6.334180237538462e-07,0
175,5.186106006311259e-07,6.908024483637289e-07,0
176,5.0432486370317e-07,6.409236034796099e-07,0
177,4.862834662782751e-07,6.122641907594421e-07,0
178,4.794541894170834e-07,7.298553132965614e-07,0
179,4.85923012030815e-07,6.075143933400191e-07,0
180,4.640475427467291e-07,5.999717108838159e-07,0
181,4.6767126625788727e-07,6.11042095413169e-07,0
182,4.808614421976513e-07,6.112157144917033e-07,0
183,4.6303998984016786e-07,5.952119636347233e-07,0
184,4.5613394211779285e-07,5.715272579566642e-07,0
185,4.490542088123303e-07,6.120508509544345e-07,0
186,4.5595327988352936e-07,6.738164933569623e-07,0
187,4.544830880025653e-07,6.207036580114127e-07,0
188,4.4134020475377674e-07,5.853865409208309e-07,0
189,4.396588727476311e-07,5.499162216155529e-07,0
190,4.46328285244652e-07,5.718673910111947e-07,0
191,4.825285067123662e-07,5.542388394641426e-07,0
192,4.50502985090266e-07,5.674459609977501e-07,0
193,4.394094460994066e-07,6.005519251472003e-07,0
194,4.326549875796362e-07,5.647003314273697e-07,0
195,4.2390774141991145e-07,5.400750340820382e-07,0
