epoch #,Training loss,Validation loss
0,0.0007936980794842694,0.0005480410344518511
1,0.00041886232504548954,0.000408253769505298
2,0.00033356967671366425,0.0003350774063190035
3,0.0002819049987913102,0.0002836995485917899
4,0.00024062277462203488,0.00024142897894421366
5,0.00018616813141243468,0.00017202067195094695
6,0.00013056858805957604,0.00013087668327665765
7,0.0001009372118227644,0.00010304648562851071
8,7.983572568616726e-05,8.223802904171334e-05
9,6.403061414357228e-05,6.653144440607257e-05
10,5.2104118305381186e-05,5.436009901343421e-05
11,4.276265185193227e-05,4.47667528866331e-05
12,3.520843210724199e-05,3.701400454580179e-05
13,2.922859525154823e-05,3.094903421311375e-05
14,2.4611213367568624e-05,2.6215697607106683e-05
15,2.099157135059733e-05,2.2496446969091987e-05
16,1.8095159497209726e-05,1.948657100636114e-05
17,1.5783867306603243e-05,1.699571453814262e-05
18,1.3938311716516155e-05,1.5027509467309957e-05
19,1.2416190015368233e-05,1.3362793364527787e-05
20,1.1155243060615206e-05,1.203357776223901e-05
21,1.0114184404780764e-05,1.0899705405620352e-05
22,9.235017404175461e-06,9.910364479100186e-06
23,8.48022677787377e-06,9.110536236980171e-06
24,7.821374165994415e-06,8.376454342546134e-06
25,7.238350965349656e-06,7.75160820812162e-06
26,6.727790657682218e-06,7.178483157092562e-06
27,6.2816361348317755e-06,6.688558351755958e-06
28,5.889833518754025e-06,6.271855215205442e-06
29,5.5412045953709134e-06,5.9162596770409775e-06
30,5.2340727126097906e-06,5.569495370568697e-06
31,4.959741807735639e-06,5.303873081042776e-06
32,4.71778075082462e-06,5.00726225808659e-06
33,4.499189016272329e-06,4.763763849210633e-06
34,4.304771788551178e-06,4.553136193011554e-06
35,4.127539850107792e-06,4.36345169990667e-06
36,3.965766541466652e-06,4.191906521298754e-06
37,3.814256164396072e-06,4.015500514580793e-06
38,3.6754428258289465e-06,3.881859823302632e-06
39,3.5476796598203683e-06,3.749823120614998e-06
40,3.4296173779264e-06,3.6102085754250344e-06
41,3.3207138858767936e-06,3.4956960549378477e-06
42,3.2166795684789514e-06,3.4051871854038636e-06
43,3.118341727671112e-06,3.27772447759624e-06
44,3.026270261470081e-06,3.1782475304329064e-06
45,2.9397953698588578e-06,3.097702368095693e-06
46,2.860552965716505e-06,3.012130949286984e-06
47,2.7861246776022785e-06,2.9481496916121106e-06
48,2.716714758461485e-06,2.8686142193428857e-06
49,2.6513064367534315e-06,2.8051577725810857e-06
50,2.590710051106359e-06,2.732754101545155e-06
51,2.5308888242684344e-06,2.675165203405006e-06
52,2.4754294538225207e-06,2.6239502532492615e-06
53,2.4221053501795996e-06,2.566033125741913e-06
54,2.37118651173575e-06,2.5161800276374527e-06
55,2.323407676870325e-06,2.4819945314630406e-06
56,2.277411105007714e-06,2.42180145149767e-06
57,2.2329726517955702e-06,2.3738531281745236e-06
58,2.191357274279808e-06,2.332891110942122e-06
59,2.1520874702042605e-06,2.291126844461809e-06
60,2.1128183336202698e-06,2.2560477426266115e-06
61,2.0750445423976816e-06,2.214282454220602e-06
62,2.040684009440269e-06,2.1944923179229283e-06
63,2.006501961381035e-06,2.146832121951217e-06
64,1.9737289915244126e-06,2.118468438001874e-06
65,1.941763795027447e-06,2.081375665555541e-06
66,1.9118337443318904e-06,2.0575394474461562e-06
67,1.8833459151654436e-06,2.02568373729786e-06
68,1.855396182282118e-06,1.9962195092131063e-06
69,1.8291528046694822e-06,1.9674978734477717e-06
70,1.8033877831099786e-06,1.947452960501741e-06
71,1.7781244796318535e-06,1.923612194728818e-06
72,1.7549934279641587e-06,1.896153705805387e-06
73,1.731780515339863e-06,1.862451894950162e-06
74,1.7097363977057306e-06,1.8455304132500747e-06
75,1.6881294171550628e-06,1.8280190656739468e-06
76,1.6662359858721822e-06,1.796560397569338e-06
77,1.6471189610456349e-06,1.7734225870841927e-06
78,1.6271931906166448e-06,1.7575485531064614e-06
79,1.6078233405399562e-06,1.7510209372508646e-06
80,1.590487899679723e-06,1.7218419958833581e-06
81,1.5719727744809892e-06,1.7110050166355333e-06
82,1.55494166887887e-06,1.6827615130500421e-06
83,1.537328473800734e-06,1.6627461369772169e-06
84,1.5215865222981924e-06,1.6474435274411002e-06
85,1.5056780003661946e-06,1.6347112770367224e-06
86,1.4899288838608673e-06,1.6145942775389764e-06
87,1.4739847788299557e-06,1.6011091046144021e-06
88,1.4602423218178068e-06,1.5858659926386525e-06
89,1.445777441619097e-06,1.5712474251802972e-06
90,1.431309158923154e-06,1.5656071057708363e-06
91,1.4197693577768032e-06,1.5365330473439055e-06
92,1.4057585496820413e-06,1.537645934201509e-06
93,1.3933428103107223e-06,1.5162444281375344e-06
94,1.3808730761249267e-06,1.5104210788515476e-06
95,1.3683932750137155e-06,1.4888234011835473e-06
96,1.3566839450243767e-06,1.4835122658545976e-06
97,1.345017577291013e-06,1.4669413191684456e-06
98,1.3346582471255764e-06,1.4601650521418777e-06
99,1.3236394432331775e-06,1.4447767887486274e-06
100,1.3128850335926628e-06,1.4326081671653842e-06
101,1.3020652199144067e-06,1.4248271203218448e-06
102,1.2920648960379219e-06,1.4068928879776869e-06
103,1.2824524254719736e-06,1.4018587120323298e-06
104,1.2715913097180906e-06,1.3961091339494427e-06
105,1.2621779685224996e-06,1.378973059952968e-06
106,1.252323060863239e-06,1.3689815522800644e-06
107,1.2429323138250287e-06,1.3657963865117173e-06
108,1.2336178093222728e-06,1.349900372134057e-06
109,1.2247235993301671e-06,1.341779153781985e-06
110,1.215445239310167e-06,1.3286324663760942e-06
111,1.2063123683022192e-06,1.3289814962209135e-06
112,1.197527941635352e-06,1.3115425991430996e-06
113,1.1885986054949172e-06,1.308765760950122e-06
114,1.1805673469894799e-06,1.2983091719766153e-06
115,1.1714451488842315e-06,1.284966150425917e-06
116,1.16361692718339e-06,1.277399293982161e-06
117,1.155057049029984e-06,1.2648977725682186e-06
118,1.1474410755436675e-06,1.259324354436041e-06
119,1.1393672521574114e-06,1.2523043524465113e-06
120,1.1318458689842824e-06,1.2451632802912025e-06
121,1.1240424613746189e-06,1.2514282686332643e-06
122,1.1170122026525028e-06,1.2337550625119651e-06
123,1.109233971081182e-06,1.2148360725672785e-06
124,1.102456586388792e-06,1.216590331451172e-06
125,1.095188199524837e-06,1.2111264954153627e-06
126,1.0882667828185688e-06,1.1963058439268777e-06
127,1.0814655014613425e-06,1.1913797452599134e-06
128,1.0750255026415085e-06,1.17939194619332e-06
129,1.0682897637732033e-06,1.1711734673831627e-06
130,1.0616048047172944e-06,1.1705608683078198e-06
131,1.0552878610593861e-06,1.1735341119911186e-06
132,1.049302312198009e-06,1.152993512458737e-06
133,1.0427564524250966e-06,1.1449277941959438e-06
134,1.0367063018994775e-06,1.1483081130579762e-06
135,1.0308636696871582e-06,1.1300494126996044e-06
136,1.0251015410194105e-06,1.1260126707284216e-06
137,1.019160587230199e-06,1.119535634539378e-06
138,1.0128318755745172e-06,1.1115779697590255e-06
139,1.007629306427624e-06,1.105793200892518e-06
140,1.0015086531858507e-06,1.098473623756903e-06
141,9.956511481794067e-07,1.1038548866180577e-06
142,9.89938231987958e-07,1.0860656381484183e-06
143,9.840622430880287e-07,1.0866260435325318e-06
144,9.786482806251913e-07,1.0741536390135308e-06
145,9.728059886361564e-07,1.0661233783348933e-06
146,9.678334068603573e-07,1.0604809342632294e-06
147,9.614034706476017e-07,1.0590813206371995e-06
148,9.573396624993846e-07,1.052007081868261e-06
149,9.510438036959244e-07,1.0504732282298435e-06
150,9.46452460154905e-07,1.0392253472084301e-06
151,9.409065139272373e-07,1.0332414814510109e-06
152,9.360880507435728e-07,1.0406094014346966e-06
153,9.313420589090714e-07,1.027238197036728e-06
154,9.267507218455578e-07,1.0266763705217015e-06
155,9.218408476584066e-07,1.0121250458173467e-06
156,9.17339566345519e-07,1.0082404244620095e-06
157,9.127874542814812e-07,1.0041805303935331e-06
158,9.083947070164924e-07,1.000973410538059e-06
159,9.039032106151593e-07,9.967593403047246e-07
160,8.994366054181693e-07,9.90887133175385e-07
161,8.953906088688319e-07,9.891124466804678e-07
162,8.914820786541063e-07,9.88536674754207e-07
163,8.875791594135982e-07,9.794542740312304e-07
164,8.833554909591656e-07,9.849800583925786e-07
165,8.791840092578431e-07,9.73770904247135e-07
166,8.753818558171736e-07,9.70374091813736e-07
167,8.71417872511922e-07,9.72911970030876e-07
168,8.680696883282705e-07,9.572841243069073e-07
169,8.643628690123471e-07,9.622418631150245e-07
170,8.609475747833539e-07,9.473613571129457e-07
171,8.570279556073545e-07,9.524523852773594e-07
172,8.540162218915337e-07,9.451547050776885e-07
173,8.503295553742476e-07,9.491063606486717e-07
174,8.470655812785946e-07,9.401764648968787e-07
175,8.444492643969332e-07,9.361554657652861e-07
176,8.400376025944802e-07,9.269332712275423e-07
177,8.37211597743505e-07,9.231200503504998e-07
178,8.338796275942753e-07,9.240026589000534e-07
179,8.305630063138193e-07,9.164616810516881e-07
180,8.27756992323835e-07,9.181559179926102e-07
181,8.244690250617274e-07,9.159251479908143e-07
182,8.21152126702653e-07,9.054326163390166e-07
183,8.180579598505461e-07,9.13274176997187e-07
184,8.149542518085512e-07,9.045591538170675e-07
185,8.119087635452527e-07,8.988105707583985e-07
186,8.091398510344355e-07,9.059510132731814e-07
187,8.056845879062786e-07,8.912100082100684e-07
188,8.033567471891927e-07,8.852909317469921e-07
189,8.002937304424921e-07,8.975347652186322e-07
190,7.97317924058754e-07,8.783195503595804e-07
191,7.94010848462782e-07,8.820771042803071e-07
192,7.920810447530122e-07,8.766183773039267e-07
193,7.891537207381257e-07,8.741336699637903e-07
194,7.863877958557133e-07,8.749630342593769e-07
195,7.839047831365924e-07,8.677958339372546e-07
196,7.813222959326637e-07,8.687469886364431e-07
197,7.784825639248097e-07,8.627177883935041e-07
198,7.761115337983966e-07,8.666474354575841e-07
199,7.729863192912313e-07,8.661240751438412e-07
200,7.708309734979164e-07,8.542131934541084e-07
201,7.685260490509177e-07,8.521424121836195e-07
202,7.66326492517452e-07,8.544720844371784e-07
203,7.63370719252719e-07,8.479277602837871e-07
204,7.613465163822818e-07,8.463057168684412e-07
205,7.585666876877454e-07,8.475272560844731e-07
206,7.557979291388705e-07,8.500971772510439e-07
207,7.54061449411935e-07,8.380033924363656e-07
208,7.516419949938997e-07,8.373506329449447e-07
209,7.492476563337443e-07,8.359223306814028e-07
210,7.472526369626796e-07,8.322217939609395e-07
211,7.445061586985708e-07,8.275801678862278e-07
212,7.428316265769924e-07,8.256203293332839e-07
213,7.400381798296896e-07,8.368546824102994e-07
214,7.376977050678888e-07,8.179206587618736e-07
215,7.358670231052772e-07,8.181988434185791e-07
216,7.338290614395311e-07,8.14733184906988e-07
217,7.316051285092127e-07,8.193903098717264e-07
218,7.298289503960968e-07,8.143199664057113e-07
219,7.271964084638473e-07,8.26178471694037e-07
220,7.255884387960091e-07,8.045933940912139e-07
221,7.231055341675133e-07,8.092425439976125e-07
222,7.21227519791633e-07,8.059434283755781e-07
223,7.189457779856265e-07,8.019933433020737e-07
224,7.178466690611669e-07,8.023830077201186e-07
225,7.15104786917958e-07,8.058315812373086e-07
226,7.133011390243867e-07,7.964494994741417e-07
227,7.114630236170455e-07,7.90413344488478e-07
228,7.097563291365585e-07,7.980536423459078e-07
229,7.071266479264762e-07,7.965349462235594e-07
230,7.06109388810257e-07,7.850197591333936e-07
231,7.037161359034665e-07,7.866228874182956e-07
232,7.023276261614849e-07,7.905770530994863e-07
233,7.000642281673913e-07,7.799360331159807e-07
234,6.983011532114223e-07,7.78317515368248e-07
235,6.966011081330667e-07,7.922585394878566e-07
236,6.947001366832184e-07,7.775469090468583e-07
237,6.935829445012146e-07,7.717865676274958e-07
238,6.910982353365257e-07,7.72820904997255e-07
239,6.892562768293581e-07,7.74400890215366e-07
240,6.879104622674122e-07,7.766382548288402e-07
241,6.865030894995604e-07,7.685348521802027e-07
242,6.842594652598494e-07,7.735433595169775e-07
243,6.82955661729938e-07,7.648207564009541e-07
244,6.808732758748002e-07,7.626579492076658e-07
245,6.801551290318598e-07,7.625980163412443e-07
246,6.777463305516276e-07,7.644506967553658e-07
247,6.764642576438414e-07,7.549171959811483e-07
248,6.74971429564601e-07,7.565892757958074e-07
249,6.733662077252564e-07,7.564941979285227e-07
250,6.71787791347466e-07,7.56759643863781e-07
251,6.700797593281138e-07,7.517561907437412e-07
252,6.684517193066277e-07,7.553591163434679e-07
253,6.669758737055156e-07,7.478280864308594e-07
254,6.655509132754158e-07,7.451801280150162e-07
255,6.64260505888614e-07,7.544464814016888e-07
256,6.624634495843326e-07,7.508001458153751e-07
257,6.614223350037395e-07,7.494482724944651e-07
258,6.600658776793253e-07,7.411235281220667e-07
259,6.582867849529559e-07,7.42206263709301e-07
260,6.567454330400134e-07,7.353941789280278e-07
261,6.559238856386732e-07,7.335535683160407e-07
262,6.534588181665633e-07,7.311911268441352e-07
263,6.524446122910362e-07,7.376415264381819e-07
264,6.51208349097928e-07,7.295397542251242e-07
