epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.0009468238853680139,0.000693121519748585,147
1,0.000749746804675934,0.0005983410848023352,148
2,0.0006614019141786478,0.0005293377130901548,148
3,0.0005902688028502532,0.0004711959073883127,147
4,0.000529541383095255,0.00042336664681361016,147
5,0.000478426422606307,0.00038266040304056023,148
6,0.0004345372009662573,0.00034779387546686225,147
7,0.0003962012520059943,0.00031643451199868096,155
8,0.0003620694862646897,0.00028853447728076576,149
9,0.000331195465802342,0.0002630150846157703,385
10,0.00030316192013825376,0.0002402905611349259,162
11,0.00027786627049367367,0.0002197120098910136,156
12,0.00025480343801477414,0.00020108665396342443,152
13,0.00023400329222733325,0.00018411134132767745,152
14,0.0002150656991183165,0.00016924047610248732,152
15,0.00019791290210295385,0.00015566763736630566,152
16,0.00018216326255986298,0.00014270359507463583,156
17,0.00016769817095006477,0.0001315212910370443,157
18,0.00015461175321516664,0.0001209073605479253,155
19,0.0001426760018379851,0.00011165475633551186,154
20,0.00013182374615677294,0.00010278384088202718,151
21,0.0001219443579479544,9.498260869991071e-05,155
22,0.00011276761069893837,8.780086231047829e-05,154
23,0.0001042759662430564,8.095554462252378e-05,159
24,9.662666053124916e-05,7.480853710284526e-05,156
25,8.976665845363062e-05,6.955596394426556e-05,153
26,8.355964986549225e-05,6.507567185361503e-05,155
27,7.791032928005073e-05,6.06029396547693e-05,150
28,7.27788376058346e-05,5.658456774501518e-05,152
29,6.808227072972593e-05,5.318036838560045e-05,157
30,6.382478805872696e-05,4.994520661859485e-05,155
31,5.9950033398556775e-05,4.6504354373519726e-05,154
32,5.642757273480212e-05,4.3988389495679944e-05,155
33,5.319163070949303e-05,4.156766633110147e-05,151
34,5.020017207160973e-05,3.917725973506603e-05,154
35,4.7445883326211266e-05,3.733522121692884e-05,149
36,4.493318699877074e-05,3.533367962535188e-05,160
37,4.2622728132383516e-05,3.338846535399221e-05,150
38,4.0507455649441745e-05,3.196369187433854e-05,151
39,3.853538138090781e-05,3.0382226189301167e-05,150
40,3.668984024195445e-05,2.8882879433971855e-05,156
41,3.498045178275788e-05,2.752407085682303e-05,158
42,3.338890182931209e-05,2.655333301489641e-05,161
43,3.191119058928135e-05,2.5261172293494665e-05,152
44,3.0539254026238765e-05,2.420688767895581e-05,155
45,2.9287154773721176e-05,2.3352739018710674e-05,155
46,2.8129683328601956e-05,2.2566715884716115e-05,157
47,2.704296418828149e-05,2.163741848455163e-05,153
48,2.6021383151105096e-05,2.1066308885260327e-05,152
49,2.5051245403036855e-05,2.014930493048342e-05,151
50,2.413497911303156e-05,1.9577767122727157e-05,153
51,2.3271767535003495e-05,1.8958480240488717e-05,154
52,2.2473111818147697e-05,1.835851211750501e-05,153
53,2.1735151856939246e-05,1.7740984055833577e-05,155
54,2.103760836358891e-05,1.7181673664940408e-05,154
55,2.0380249137484827e-05,1.686975842745393e-05,156
56,1.97603972959438e-05,1.6356591119084607e-05,151
57,1.9172771604975093e-05,1.5800342768970215e-05,150
58,1.861624133115666e-05,1.5472253078893705e-05,151
59,1.8108272334674523e-05,1.5038286674211326e-05,154
60,1.7620509796953147e-05,1.472806258094374e-05,155
61,1.7159261786384213e-05,1.4200368188472081e-05,153
62,1.6714829054597596e-05,1.3955861165600226e-05,161
63,1.6293260020823007e-05,1.3614828810391344e-05,156
64,1.588659910504992e-05,1.3547420309257646e-05,151
65,1.550524359613932e-05,1.3053703596427718e-05,152
