epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.07618284970521927,45.06991617456798,248
1,69.30612182617188,0.03585169974029955,280
2,0.034252677112817764,0.07303963528054024,276
3,0.0711892768740654,0.07487414829570199,309
4,0.0734475776553154,0.07374194528776731,316
5,0.07327722758054733,0.06843183880975796,332
6,0.06918223947286606,0.054112317031120384,349
7,0.0555143803358078,0.03347174697522503,381
8,0.03581402078270912,0.03610657141206541,395
9,0.03330520540475845,0.04059510613351677,417
10,0.013026121072471142,0.0316103170348057,443
11,0.011193597689270973,0.020462756351232157,458
12,0.009512254036962986,0.018308462232040523,409
13,0.007620834279805422,0.019977526342886305,595
14,0.006973537616431713,0.013558251747059588,246
15,0.005985081661492586,0.012911114722670399,249
16,0.004885370377451181,0.011830732679725632,247
17,0.004793001338839531,0.013198137455570462,246
18,0.005226655397564173,0.014480622714149287,252
19,0.009179476648569107,0.0245493014435743,259
20,0.013739822432398796,0.01858041779495262,254
21,0.005050146486610174,0.023543287114842236,256
22,0.015301409177482128,0.017293505351455397,254
23,0.0045240093022584915,0.02442706786737949,293
