epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.00269840023936767,4.1994326596089425e-05,1483
1,3.160932256134909e-05,1.9065600103796135e-05,1537
2,1.7128729057223483e-05,1.5201372734948162e-05,1711
3,1.2536040506439145e-05,8.823897936180889e-06,1743
4,9.384023081132232e-06,5.556879319704231e-06,3320
5,8.131099636465683e-06,4.582900291108333e-06,1477
6,7.109391125518167e-06,1.427739471499842e-05,1523
7,6.2376078312104076e-06,4.159709921390628e-06,1810
8,5.619048205298613e-06,2.9602692928768e-06,1601
9,4.362110842542511e-06,2.49492360565053e-06,1787
