epoch #,Training loss,Validation loss,epoch_time (seconds)
0,0.0009143087618810541,2.6089035574676184e-05,5000
1,2.1346281768990483e-05,1.9148746215995e-05,5000
2,1.3285522723890608e-05,5.287392029086649e-06,5000
3,9.386006427258976e-06,3.346114901680928e-06,5000
4,5.912998753046849e-06,4.931009341775776e-06,5000
5,4.728137689970467e-06,1.4779168444337384e-06,5000
6,3.975497135770363e-06,1.8790574232112208e-06,5000
7,3.431719237651674e-06,1.2564912206740204e-06,5000
8,3.0997601386457754e-06,1.0181221261973405e-06,5000
9,2.8411028818785176e-06,1.1138427142689331e-06,5000
10,2.478972594789494e-06,9.823090354643682e-07,5000
11,2.268094343807289e-06,1.9936243841750018e-05,5000
12,2.2535150895264726e-06,7.475810945255613e-07,5000
13,2.099620909162199e-06,1.050400847191213e-06,5000
14,4.101798028579761e-06,0.0002634175162794153,5000
15,3.6246464291473263e-06,7.708790733121615e-07,5000
16,1.6472131032556221e-06,5.549700938445313e-07,5000
17,1.5843143496429989e-06,8.855535358262304e-07,5000
18,1.5404686893651325e-06,4.303579465220702e-07,5000
19,1.2940959288629748e-06,1.659564455952601e-06,5000
20,1.370223585457676e-06,6.095109808835663e-07,5000
21,1.236081576266632e-06,9.62777818901114e-07,5000
22,1.1863887042305908e-06,5.769041368094721e-07,5000
23,1.2696007240306657e-06,3.5062068297458445e-07,5000
24,1.0837632698481188e-06,1.8216816904855063e-06,5000
25,1.0883009640014225e-06,8.164739735279496e-07,5000
26,1.0798680985689399e-06,2.574925330701593e-07,5000
27,1.0829615009904294e-06,8.930110963299078e-07,5000
28,1.0014735480512392e-06,3.656553185103142e-07,5000
29,1.0561882098141779e-06,1.9376648332716038e-07,5000
30,9.752106780345485e-07,3.876342133563329e-06,5000
31,1.1823231054057198e-06,2.8989615136703667e-07,5000
32,1.0004700640103802e-06,6.391633595822813e-07,5000
33,9.499181956567609e-07,2.9275729083234515e-06,5000
34,1.0770273121110994e-06,3.6300618678420836e-07,5000
35,9.400307118346863e-07,2.9240062668184854e-07,5000
36,9.837659226108868e-07,2.592316183645173e-07,5000
37,8.796882668810102e-07,2.063458448343557e-07,5000
38,9.540861338088937e-07,2.1888860436030716e-07,5000
39,9.028450321528163e-07,2.7306914847455034e-07,5000
40,8.517654110157696e-07,2.1419138884032857e-07,5000
41,9.306234003705675e-07,2.4142560175991173e-07,5000
42,8.172366880458095e-07,8.174555545730817e-07,5000
43,8.075009013323738e-07,1.2483719071745079e-06,5000
44,8.375132252474555e-07,1.8767720623910381e-06,5000
45,8.438906620678167e-07,7.500948531587296e-07,5000
46,8.067095959149535e-07,3.242603960080198e-07,5000
